SYMBOL , QUANTITY , Lending Fee (Rs.),Turnover (Rs.),Weighted Average yield %,Count of Trades
NEOGEN,3,30,5459.7,5.93,1
INOXINDIA,630,3068.38,1288898.38,6.7,7
DELHIVERY,4,7.15,1942.35,10.37,2
APLAPOLLO,483,4343.18,885176.98,10.28,4
MANAPPURAM,1947,1804.84,603953.44,2.07,3
POLYPLEX,4,28,3839.6,20.62,1
HINDCOPPER,1332,307.55,656148.8,2.26,6
BANKINDIA,17,18.85,2367.33,9.41,3
HEXT,11,12.99,6009.24,2.49,2
GMRAIRPORT,13952,5724.25,1532343.9,22.8,6
IFCI,222660,108434.96,15801542.26,10.5,107
BANKBARODA,10386,5234.7,2933034,2.69,12
POKARNA,6,72,5296.5,25.15,1
BHEL,8621,3729.86,3512656.11,3.04,11
JSWHL,3,29.64,39557.64,.78,1
INDIAMART,22,461,45504.7,17.96,2
BANDHANBNK,6365,1380.18,1291869.44,5.94,6
SHAILY,13,650,39514.8,17.44,1
TBOTEK,2,50,2962,48.2,1
KPRMILL,41,410,46799.45,53.76,1
ABCAPITAL,5019,1218.36,1935039.06,1.64,5
CHOLAHLDNG,7,35,11109,3.29,1
JUNIORBEES,20,99,15456.2,6.72,1
SANSERA,8,111.6,22561.2,5.33,1
NATCOPHARM,26,63.72,23055.52,7.78,2
ANTHEM,13,45.89,10005.84,12.93,1
TATAINVEST,1800,1650,1223715,1.76,5
MAHABANK,262,35.88,24624.58,8.87,3
RELIGARE,274,137,72900.44,5.28,2
POONAWALLA,1250,1250,506875,5.3,4
HEROMOTOCO,155,174.2,770432.7,.37,2
ABSLAMC,41,123,48117.6,15.59,1
CAPACITE,34,136,9057.94,42.79,1
PRESTIGE,453,1559,698826.5,13.55,3
BAJAJHIND,5,2.2,98.05,20.43,1
MARKSANS,5,2.5,1282.85,5.48,1
SWARAJENG,29,206.5,115075.5,1.92,3
OLAELEC,1818028,553481.49,74373648.78,8.01,260
KEI,392713,28744182.69,2135124555.19,14.69,2303
LICI,4800819,17177840.28,1984409738.78,8.96,8071
BHARATFORG,1827164,41637506.64,3935902876.74,28.15,4381
QPOWER,12219,76047.69,15663981.09,4.69,54
DIXON,16168,362253.19,196411489.19,1.82,415
KFINTECH,26668,107909.12,23515943.87,5.12,82
KPIGREEN,1551,15486.97,629010.47,27.09,6
M&MFIN,2,1.96,632.76,18.9,1
DIVISLAB,255,1108.26,1681924.76,3.93,3
RBA,422731,282798.24,29091138.15,14.46,103
OFSS,33389,415473.05,342724952.05,1.71,134
TVSMOTOR,95596,184090.4,325695924.2,1.48,250
GOKEX,18,137.5,13865.9,17.64,2
ICICIPRULI,244,199.3,119770.65,8.13,4
LT,49924,39723.19,209953966.59,.79,237
FORTIS,829,731.71,792260.91,4.82,2
VIKRAMSOLR,10200,11290.15,1939219.55,4.25,26
AZAD,31,465,66093.8,12.99,2
IOC,12285,2481.98,1717397.63,2.6,7
CMSINFO,4428,4781,1351269.8,4.32,4
NOCIL,26051,36106.58,4496736.6,21.43,25
TMPV,320,15.2,127216.2,.13,9
WELENT,91,819,47875.1,18.15,1
ETERNAL,4852,2674.83,1224539.88,3.13,8
SAGILITY,1,.04,40.07,2.8,1
FINCABLES,33,197.34,39487.14,14.1,1
NATIONALUM,206,97.09,68583.54,7.33,3
KIRLOSENG,43724,249276.81,87325622.81,7.46,49
WOCKPHARMA,49,245,99783.6,2.56,1
RKFORGE,13,25.74,7497.49,3.69,1
GRAVITA,1,2.98,1615.98,1.92,1
MAPMYINDIA,6,12.12,4930.62,2.56,1
EXIDEIND,1800,897.63,696687.63,7.84,4
BPCL,6712,536.96,2079578.96,1.34,1
BAJAJCON,2,3.8,1109.7,3.58,1
TECHNOE,1,5,1084.1,4.83,1
VARROC,9,90,5179.5,18.44,1
IMFA,2,30,2922.2,10.81,1
MCX,307585,3497213.34,897258555.84,4.24,1005
ADANIGREEN,262,640.68,406302.68,4.22,2
BBOX,1,9.95,1047.55,10,1
RUBICON,650,25789.1,679396.6,41.14,13
MID150BEES,1,3.95,237.05,17.67,1
ANGELONE,764,191.25,256589.3,.44,3
GLAND,1,12.65,2199.35,16.24,1
RECLTD,2743,617.78,993633.98,1.75,6
CARBORUNIV,3,36,3670.2,27.81,1
NIACL,42,125.58,9034.2,39.57,2
MANORAMA,20000,155008.25,31883008.25,5.24,27
