ISIN,Description,Trade Date,Quantity,Nominal Value,Weighted Average Price,Weighted Average Yield
INE377Y07631,BAJAJ HOUSING FINANCE LIMITED 7.90 NCD 12MY31 FVRS1LAC,02-Jul-2026,2500,250000000.00,100.69,7.71
INE121A08PZ6,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED SR SD80 8.88 NCD 25JU33 FVRS1LAC,02-Jul-2026,15500,1550000000.00,99.90,8.89
INE377Y07649,BAJAJ HOUSING FINANCE LIMITED 7.83 NCD 18MY29 FVRS1LAC,01-Jul-2026,35000,3500000000.00,100.74,7.51
INE261F08EU4,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 26F 7.44 BD 17JL29 FVRS1LAC,01-Jul-2026,20750,2075000000.00,100.60,7.21
INE020B08GF9,REC LIMITED SR 255 7.17 BD 01JL31 FVRS1LAC,02-Jul-2026,30000,3000000000.00,100.00,7.17
INE2T2Q07238,HYDERABAD METROPOLITAN DEVELOPMENT AUTHORITY SR II STRPP I 8.50 BD 15JU38 FVRS1LAC,02-Jul-2026,1600,160000000.00,100.81,8.65
INE2T2Q07345,HYDERABAD METROPOLITAN DEVELOPMENT AUTHORITY SR II STRPP C 8.50 BD 15JU32 FVRS1LAC,01-Jul-2026,2,200000.00,100.68,8.60
INE020B07GH7,RURAL ELECTRIFICATION CORPORATION LIMITED SR-2 8.12/8.32 BD 27MR27 FVRS1000,02-Jul-2026,260,260000.00,101.92,5.40
INE219X07264,INDIGRID INFRASTRUCTURE TRUST SR V CAT III,02-Jul-2026,100,100000.00,101.70,7.75
INE046W07321,MUTHOOT MICROFIN LIMITED SR II 10 NCD 11NV28 FVRS1LAC,02-Jul-2026,90,9000000.00,100.68,10.05
INE511C07870,POONAWALLA FINCORP LIMITED SR B2 7.60 NCD 28MY27 FVRS1LAC,01-Jul-2026,15000,1500000000.00,99.91,7.65
INE020B08FA2,REC LIMITED SR 232 A 7.59 BD 31MY27 FVRS1LAC,01-Jul-2026,20000,2000000000.00,100.35,7.14
INE020B08GB8,REC LIMITED SR 251 6.95 BD 18FB28 FVRS1LAC,01-Jul-2026,2500,250000000.00,99.74,7.09
INE053F07579,INDIAN RAILWAY FINANCE CORPORATION LIMITED 7.34/7.84 BD 19FB28 FVRS1000 LOA UPTO 18FB13,02-Jul-2026,100,100000.00,103.21,5.24
INE0M2307388,ANDHRA PRADESH STATE BEVERAGES CORPORATION LIMITED SR IV F 9.15 BD 28NV31 FVRS1LAC,02-Jul-2026,240,24000000.00,101.61,9.04
INE1C3207016,TELANGANA STATE INDUSTRIAL INFRASTRUCTURE CORPORATION LIMITED SR I 2024-25 H 9.35 NCD 24NV34 FVRS1LAC,02-Jul-2026,1,100000.00,105.89,8.60
INE261F08DV4,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 23I 7.62 LOA 31JN28 FVRS1LAC,01-Jul-2026,5000,500000000.00,100.58,7.17
INE261F08CN3,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR PMAY G PD1 6.39 LOA 19NV30 FVRS10LAC,01-Jul-2026,110,110000000.00,97.67,7.13
INE484J08089,GODREJ PROPERTIES LIMITED SR 1 8.40 NCD 25JN28 FVRS1LAC,01-Jul-2026,5000,500000000.00,100.83,7.85
INE342T07619,NAVI FINSERV LIMITED 10 NCD 25MR27 FVRS1LAC,02-Jul-2026,4,400000.00,99.92,10.60
INE557F08FR8,NATIONAL HOUSING BANK 7.22 BD 23JL26 FVRS1LAC,01-Jul-2026,15000,1500000000.00,100.04,6.44
INE557F08FX6,NATIONAL HOUSING BANK 7.51 BD 04AP31 FVRS1LAC,02-Jul-2026,2500,250000000.00,101.96,7.00
INE530L07731,NIDO HOME FINANCE LIMITED SR III 9.58 LOA 01MR27 FVRS1000,02-Jul-2026,3000,3000000.00,99.83,10.30
INE658F08482,KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR VI STRPPS F 9.67 BD 08AG34 FVRS1LAC,02-Jul-2026,1,100000.00,103.70,9.30
INE556F08KL3,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR V 7.83 BD 24NV28 FVRS1LAC,01-Jul-2026,5000,500000000.00,101.33,7.17
INE556F08KN9,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR VII 7.75 BD 10JU27 FVRS1LAC,01-Jul-2026,5000,500000000.00,100.41,7.28
INE916DA7RP6,KOTAK MAHINDRA PRIME LIMITED 7.79 NCD 19JL27 FVRS10LAC,01-Jul-2026,900,900000000.00,100.27,7.50
INE741K07611,CREDITACCESS GRAMEEN LIMITED 9.25 NCD 26JU28 FVRS1LAC,30-Jun-2026,300,30000000.00,99.35,9.92
INE08E807167,SHRI RAM FINANCE CORPORATION PRIVATE LIMITED SR I 9.90 NCD 22JN28 FVRS1LAC,02-Jul-2026,200,20000000.00,98.65,11.40
INE403Q08357,KOSAMATTAM FINANCE LIMITED 11 NCD 07NV31 FVRS10000,02-Jul-2026,7000,70000000.00,100.00,11.56
INE0MYJ07187,PROGFIN PRIVATE LIMITED 10.50 NCD 30DC27 FVRS1LAC,02-Jul-2026,28,2800000.00,98.98,12.00
INE229U07178,NAMRA FINANCE LIMITED 11.25 NCD 11SP28 FVRS1LAC,02-Jul-2026,49,4900000.00,100.31,11.52
INE2T2Q07279,HYDERABAD METROPOLITAN DEVELOPMENT AUTHORITY SR II STRPP O 8.50 BD 15JU44 FVRS1LAC,02-Jul-2026,2500,250000000.00,101.00,8.65
INE818W08099,ESAF SMALL FINANCE BANK LIMITED 11.25 BD 04MY29 FVRS1LAC,02-Jul-2026,1,100000.00,102.99,10.50
INE296A07TN6,BAJAJ FINANCE LIMITED 7.07 NCD 21SP28 FVRS1LAC,02-Jul-2026,2500,250000000.00,98.45,7.82
INE282H07018,JIO CREDIT LIMITED SR 1 7.19 NCD 15MR28 FVRS1LAC,01-Jul-2026,1000,100000000.00,99.06,7.75
INE511C07946,POONAWALLA FINCORP LIMITED SR G1 TR 1 7.55 NCD 25MR27 FVRS1LAC,01-Jul-2026,12500,1250000000.00,99.87,7.58
INE413U07400,IIFL SAMASTA FINANCE LIMITED 9.50 NCD 19JU27 FVRS54166.63,02-Jul-2026,10,541666.30,92.07,10.50
INE296A07TK2,BAJAJ FINANCE LIMITED NCD 7.2337 28JU27 FVRS1LAC,01-Jul-2026,2500,250000000.00,99.74,7.51
INE062A08371,STATE BANK OF INDIA SR 1 8.10 BD PP FVRS1CR,01-Jul-2026,10,100000000.00,100.97,7.90
INE002A08567,RELIANCE INDUSTRIES LIMITED PPD SR 1B 8.65 NCD 11DC28 FVRS10LAC,01-Jul-2026,250,250000000.00,103.62,6.95
INE07HK07858,KRAZYBEE SERVICES LIMITED 11.5 NCD 29MR27 FVRS1LAC,02-Jul-2026,32,3200000.00,101.54,9.75
INE020B08FJ3,REC LIMITED SR 239 BD 03NV34 FVRS1LAC,02-Jul-2026,17600,1760000000.00,57.60,6.83
INE01YL07391,EARLYSALARY SERVICES PRIVATE LIMITED 10.70 NCD 06AG27 FVRS1LAC,02-Jul-2026,7,700000.00,100.41,10.75
INE0BUS07BX5,INDEL MONEY  LIMITED OP II 12 NCD 23JL28 FVRS1LAC,02-Jul-2026,72,7200000.00,100.93,12.10
INE0M2307347,ANDHRA PRADESH STATE BEVERAGES CORPORATION LIMITED SR IV G 9.15 BD 29NV32 FVRS1LAC,02-Jul-2026,190,19000000.00,101.71,9.07
INE0M2307396,ANDHRA PRADESH STATE BEVERAGES CORPORATION LIMITED SR IV J 9.15 BD 30NV35 FVRS1LAC,02-Jul-2026,70,7000000.00,102.17,9.09
INE121A07RF6,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED SR III TR II 8.30 NCD 09SP26 FVRS1000,02-Jul-2026,400,400000.00,100.10,7.70
INE118D08078,NUVOCO VISTAS CORPORATION LIMITED 7.7 NCD 18SP28 FVRS1LAC,30-Jun-2026,500,50000000.00,98.86,8.25
INE248U07GC5,360 ONE PRIME LIMITED 8.75 NCD 07OT27 FVRS1LAC,01-Jul-2026,17500,1750000000.00,99.86,8.81
INE296A07TV9,BAJAJ FINANCE LIMITED 7.40 NCD 12MR29 FVRS1LAC,01-Jul-2026,2500,250000000.00,99.39,7.62
INE516Q07473,ASIRVAD MICRO FINANCE LIMITED 9.10 NCD 30MR28 FVRS1LAC,02-Jul-2026,4,400000.00,99.59,9.75
INE403D08298,BHARTI TELECOM LIMITED SR XXVIII 7.40 NCD 01FB29 FVRS1LAC,02-Jul-2026,500,50000000.00,98.11,8.20
INE414G08355,MUTHOOT FINANCE LIMITED 8.70 NCD 16JN236 FVRS1LAC,02-Jul-2026,1000,100000000.00,99.50,8.76
INE377Y07565,BAJAJ HOUSING FINANCE LIMITED 7.02 NCD 26MY28 FVRS1LAC,01-Jul-2026,2500,250000000.00,99.24,7.44
INE306N07NS8,TATA CAPITAL LIMITED SR D STRPP I 8.0980 NCD 22JN27 FVRS1LAC,01-Jul-2026,1500,150000000.00,100.25,7.55
INE530B08235,IIFL FINANCE LIMITED SR 35 OP A-II 9.30 NCD 30DC35 FVRS1LAC,02-Jul-2026,400,40000000.00,98.64,9.50
INE511C07854,POONAWALLA FINCORP LIMITED SR A1 7.65 NCD 21AP27 FVRS1LAC,01-Jul-2026,27500,2750000000.00,99.91,7.65
INE556F08KM1,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR VI 7.79 BD 14MY27 FVRS1LAC,02-Jul-2026,2500,250000000.00,100.40,7.29
INE516Y07444,PIRAMAL FINANCE LIMITED 6.75 LOA 26SP31 FVRS775,30-Jun-2026,250000,193750000.00,93.73,9.55
INE556F08KP4,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR IX 7.68 BD 10AG27 FVRS1LAC,02-Jul-2026,2500,250000000.00,100.50,7.20
INE556F08LC0,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR V 7.22 BD 10AP29 FVRS1LAC,02-Jul-2026,3500,350000000.00,100.03,7.18
INE556F08LC0,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR V 7.22 BD 10AP29 FVRS1LAC,01-Jul-2026,1500,150000000.00,99.62,7.35
INE814H07216,ADANI POWER LIMITED SR IV 8.40 NCD 27JN31 FVRS1LAC,02-Jul-2026,10,1000000.00,101.14,8.34
INE860H07IY4,ADITYA BIRLA CAPITAL LIMITED L1 8.33 NCD 19MY27 FVRS1LAC,01-Jul-2026,2500,250000000.00,100.62,7.55
INE539K07346,CREDILA FINANCIAL SERVICES LIMITED SR 001 9.5060 NCD 04JU31 FVRS1LAC,02-Jul-2026,9,900000.00,102.09,8.95
INE121A08PZ6,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED SR SD80 8.88 NCD 25JU33 FVRS1LAC,01-Jul-2026,21000,2100000000.00,99.90,8.89
INE180C07288,CAPRI GLOBAL CAPITAL LIMITED SR 1 TR I 9 NCD 30AP28 FVRS1000,02-Jul-2026,1542,1542000.00,99.92,9.00
INE976I07DF6,TATA CAPITAL LIMITED SR C 8.15 NCD 11JU29 FVRS1LAC,01-Jul-2026,1000,100000000.00,101.08,7.71
INE0JZO07040,LUCINA LAND DEVELOPMENT LIMITED SR II TR II 13 NCD 30JN29 FVRS1LAC,02-Jul-2026,849,84900000.00,100.43,13.50
INE515Q07640,ANNAPURNA FINANCE PRIVATE LIMITED 10.95 NCD 22JL27 FVRS58333.3,02-Jul-2026,18,974999.34,100.25,11.00
INE583D07638,UGRO CAPITAL LIMITED 9.99 NCD 16JU29 FVRS10000,02-Jul-2026,1000,10000000.00,98.73,11.00
INE423A07526,ADANI ENTERPRISES LIMITED SR VII 8.90 NCD 12JN31 FVRS1000,02-Jul-2026,2000,2000000.00,100.00,8.87
INE040A08807,HDFC BANK LIMITED SR AA009 8 NCD 27JL32 FVRS10LAC,01-Jul-2026,2,2000000.00,101.84,7.60
INE020B08FW6,REC LIMITED SR 248A 6.52 BD 31JN28 FVRS1LAC,01-Jul-2026,5000,500000000.00,99.12,7.09
INE0NES07303,KEERTANA FINSERV LIMITED 12 NCD 10MY28 FVRS10000,01-Jul-2026,768,7680000.00,97.84,14.50
INE118D08078,NUVOCO VISTAS CORPORATION LIMITED 7.7 NCD 18SP28 FVRS1LAC,01-Jul-2026,500,50000000.00,99.34,8.00
INE128M08094,L,30-Jun-2026,500,50000000.00,97.00,8.03
INE128M08094,L,02-Jul-2026,500,50000000.00,97.00,8.03
INE148I07UE9,SAMMAAN CAPITAL LIMITED SR IV CAT III,02-Jul-2026,19000,19000000.00,100.80,9.12
INE516Q08497,ASIRVAD MICRO FINANCE LIMITED 10.75 NCD 26MY33 FVRS1LAC,02-Jul-2026,5,500000.00,98.74,11.00
INE134E08JC3,POWER FINANCE CORPORATION LIMITED SR-168B 7.44 BD 11JU27 FVRS10LAC,01-Jul-2026,250,250000000.00,100.25,7.13
INE202B07JW4,PIRAMAL FINANCE LIMITED 8.75 NCD 29OCT27 FVRS1LAC,01-Jul-2026,500,50000000.00,99.97,8.70
INE261F08EI9,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 25A 7.70 BD 30SP27 FVRS1LAC,02-Jul-2026,5500,550000000.00,100.56,7.17
INE2T2Q07071,HYDERABAD METROPOLITAN DEVELOPMENT AUTHORITY STRPP Q 8.70 BD 15MR46 FVRS1LAC,02-Jul-2026,5,500000.00,103.23,8.62
INE530B08201,IIFL FINANCE LIMITED SR PDI 1 9.90 PP NCD FVRS1CR,30-Jun-2026,30,300000000.00,99.75,9.92
INE658F08565,KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR VII STRPP C 9.30 BD 21JN32 FVRS1LAC,02-Jul-2026,56,5600000.00,101.18,9.32
INE556F08KQ2,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR I 7.68 BD 10SP27 FVRS1LAC,02-Jul-2026,2500,250000000.00,100.57,7.20
INE556F08KX8,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR VIII 7.49 BD 11JU29 FVRS1LAC,02-Jul-2026,2500,250000000.00,100.76,7.18
INE787H07149,INDIA INFRASTRUCTURE FINANCE COMPANY LIMITED 7.36/7.86BD 22JN28 FVRS1000 LOA UPTO 16AP13,02-Jul-2026,1800,1800000.00,103.00,5.27
INE0NES07329,KEERTANA FINSERV LIMITED 12 NCD 22SP27 FVRS10000,02-Jul-2026,2038,20380000.00,98.44,14.34
INE403Q07HB4,KOSAMATTAM FINANCE LIMITED OP III 9.25 NCD 27MY29 FVRS1000,02-Jul-2026,30000,30000000.00,96.24,11.30
INE115A07RJ0,LIC HOUSING FINANCE LTD TR 458 7.57 NCD 23NV29 FVRS1LAC,01-Jul-2026,76886,7688600000.00,100.02,7.58
INE101Q07BX1,MUTHOOT MCRED LIMITED SR II TR XVI 9.30 NCD 17JU28 FVRS10000,02-Jul-2026,2120,21200000.00,97.35,11.35
INE233A08154,GODREJ INDUSTRIES LIMITED SR 1 8.10 NCD 22MY28 FVRS1LAC,01-Jul-2026,5000,500000000.00,100.37,7.85
INE403D08306,BHARTI TELECOM LIMITED SR XXVII 7.30 NCD 01DC27 FVRS1LAC,01-Jul-2026,2500,250000000.00,99.22,7.85
INE261F08EM1,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 25E 7.53 BD 24MR28 FVRS1LAC,01-Jul-2026,5000,500000000.00,100.48,7.18
