235,ACI,INE128X01021,531.7,14.09
236,HONAUT,INE671A01010,39545,12.28
237,SIEMENS,INE003A01024,3580.4,13.58
238,HAL,INE066F01020,4434,12.53
239,GUJENERGY,INE844O01030,300.05,100
240,HINDCOPPER,INE531E01026,494.95,21.94
241,TRIDENT,INE064C01022,26.8,13.69
242,SGBJUN29II,IN0020210061,14254.67,10
243,AUBANK,INE949L01017,1057,12.37
244,MOREPENLAB,INE083A01026,59.79,20.55
245,MAZDOCK,INE249Z01020,2555,17.44
246,UPL,INE628A01036,588.75,13.33
247,SGBJUL27,IN0020190081,14299,10
248,MARKSANS,INE750C01026,267.2,18.32
249,SAREGAMA,INE979A01025,494.3,17.22
250,AVL,INE679V01027,640.35,15.41
251,AETHER,INE0BWX01014,1372.4,15.39
252,HCC,INE549A01026,25.57,22.02
253,POLICYBZR,INE417T01026,1682.1,14.71
254,HDFCLIFE,INE795G01014,571.35,9.1
255,ECLERX,INE738I01010,1391.3,17.93
256,HDBFS,INE756I01012,740.15,9.24
257,APARINDS,INE372A01015,15101,19.57
258,TRITURBINE,INE152M01016,664.8,17.95
259,SOUTHBANK,INE683A01023,45.54,16.1
260,ALPHA,INF174KA1IA5,51.56,9
261,HOMEFIRST,INE481N01025,1201.1,16.41
262,ALOKINDS,INE270A01029,13.27,16.3
263,LTFOODS,INE818H01020,379.65,17.07
264,EPACK,INE0G5901015,237.41,21.34
265,KISSHT,INE12F801023,316.85,12.09
266,NAUKRI,INE663F01032,1026.15,11.86
267,AEROFLEX,INE024001021,478.4,24.61
268,ICICIAMC,INE346A01027,3360.4,9.85
269,CMRGREEN,INE00WV01027,244.1,9
270,PARKHOSPS,INE119201023,287.95,13.08
271,ATHERENERG,INE0LEZ01016,1143,16.91
272,SUMICHEM,INE258G01013,441.2,13.84
273,GROWW,INE0HOQ01053,206.08,15.99
274,LTM,INE214T01019,3680.7,12.93
275,EMCURE,INE168P01015,1856.5,13.62
276,APLAPOLLO,INE702C01027,1788.3,11.43
277,GOODLUCK,INE127I01024,1490.7,19.79
278,JAYNECOIND,INE854B01010,90.32,24.07
279,KTKBANK,INE614B01018,267.55,13.5
280,ORIENTCEM,INE876N01018,136.42,14.5
281,RAYMOND,INE301A01014,590.35,19.8
282,POLYPLEX,INE633B01018,991.2,14.66
283,PINELABS,INE15B701018,159.84,14.33
284,FEDFINA,INE007N01010,151.89,15.9
285,BOMDYEING,INE032A01023,132.06,18.17
286,SGBJUL28IV,IN0020200146,14295.53,10
287,TRIVENI,INE256C01024,468.3,14.87
288,CANHLIFE,INE01TY01017,141.82,9.3
289,MASTEK,INE759A01021,1613.4,15.52
290,CARTRADE,INE290S01011,2742,23.06
291,LODHA,INE670K01029,1006.2,16
292,RADICO,INE944F01028,3972.4,13.57
293,PERSISTENT,INE262H01021,4580.6,15.06
294,RTNINDIA,INE834M01019,34.15,20.32
295,SGBD29VIII,IN0020210228,14294.36,10
296,GODIGIT,INE03JT01014,313.25,10.34
297,BLUESTONE,INE304W01038,570.7,15.22
298,SMALLCAP,INF769K01LC3,46.91,9
299,NATCOPHARM,INE987B01026,934.5,16.27
300,BANDHANBNK,INE545U01014,205.1,15.57
301,SGBAUG28V,IN0020200161,14271.91,10
302,JSFB,INE953L01027,479.1,16.88
303,MGL,INE002S01010,1143.4,13.66
304,MAHABANK,INE457A01014,91.04,14.95
305,GODREJIND,INE233A01035,1211.8,17.03
306,FEDERALBNK,INE171A01029,331,10.07
307,LLOYDSENGG,INE093R01011,83.27,22.29
308,SEDEMAC,INE00XB01019,2825.6,11.78
309,BHARTIHEXA,INE343G01021,1440.6,12.28
310,GROWWGOLD,INF666M01OE7,13.91,11.53
311,AIIL,INE206F01022,523,22.42
312,HDFCSILVER,INF179KC1DI2,216.65,23.46
313,ALKYLAMINE,INE150B01039,1827.9,16.72
314,PETRONET,INE347G01014,275.2,12.45
315,PACEDIGITK,INE0S3G01027,213.29,14.48
316,ESCORTS,INE042A01014,2949.4,12.92
317,BORORENEW,INE666D01022,622.45,17.68
318,SETFNIF50,INF200KA1FS1,259.38,9
319,SGBN28VIII,IN0020200286,14287.5,10
320,CCAVENUE,INE483S01020,17.37,16.16
321,LIQUIDBETF,INF0QA701854,1088.4,5
322,NOCIL,INE163A01018,179.16,17.37
323,CGPOWER,INE067A01029,959.4,14.04
324,CHOLAFIN,INE121A01024,1788.5,13.87
325,SETFNN50,INF200KA1598,773.18,9
326,M&M,INE101A01026,3175.4,11.68
327,UNOMINDA,INE405E01023,1121,14.3
328,LLOYDSENT,INE080I01025,73.69,23.1
329,JWL,INE209L01016,266.45,19.89
330,SHRIRAMFIN,INE721A01047,1066.7,14.89
331,AWL,INE699H01024,183.96,13.24
332,MMTC,INE123F01029,67.75,20.66
333,HBLENGINE,INE292B01021,823.75,19.51
334,ELGIEQUIP,INE285A01027,594,14.74
335,SWIGGY,INE00H001014,249,15.33
336,MID150BEES,INF204KB1V68,237.12,9
337,SANDUMA,INE149K01016,207.05,21.05
338,PGHH,INE179A01014,8886,9
339,SANSERA,INE953O01021,3219.8,15.97
340,544467,INE301O01023,853.25,10.77
341,TVSMOTOR,INE494B01023,3626.8,11.3
342,PNCINFRA,INE195J01029,235.9,14.7
343,SDBL,INE480C01038,69.89,21.84
344,GAEL,INE036B01030,165.35,14.07
345,ITCHOTELS,INE379A01028,176.97,11.85
346,SRF,INE647A01010,2799.4,11.92
347,CHALET,INE427F01016,837.1,12.35
348,BANKINDIA,INE084A01016,144.96,13.76
349,ZYDUSLIFE,INE010B01027,1099.8,9.36
350,GABRIEL,INE524A01029,1242.1,20.49
351,CANBK,INE476A01022,126.64,12.77
352,KARURVYSYA,INE036D01028,293.95,14.13
353,ADANIENT,INE423A01024,3177.5,16.05
354,GODFRYPHLP,INE260B01028,2171.4,22.82
355,OILIETF,INF109KC18W3,11.29,9
356,CMPDI,INE05HV01027,267.54,11.65
357,SOBHA,INE671H01015,1434.6,14.78
358,PGHL,INE199A01012,6463,9.57
359,PAYTM,INE982J01020,1213.4,17.46
360,CDSL,INE736A01011,1350.8,14.45
361,PIRAMALFIN,INE202B01038,2181.3,10.46
362,SILVERADD,INF740KA1RE3,218.11,22.38
363,MUTHOOTFIN,INE414G01012,2949.7,14.77
364,JKTYRE,INE573A01042,416.5,16.07
365,UBL,INE686F01025,1357.2,9.02
366,TIPSMUSIC,INE716B01029,677.1,14.98
367,SBILIQETF,INF200KB1969,1045.56,5
368,AAVAS,INE216P01012,1503.9,12.42
369,ENGINERSIN,INE510A01028,234.21,18.76
370,DIACABS,INE989C01038,210.29,19.37
371,AFFLE,INE00WC01027,1458.2,13.23
372,VAIBHAVGBL,INE884A01027,236.5,17.61
373,COFORGE,INE591G01025,1441.9,15.97
374,KPRMILL,INE930H01031,1180.8,17.66
375,LIQUIDSHRI,INF680P01422,1111.14,5
376,TVSHLTD,INE105A01035,14178,13.36
377,CYIENTDLM,INE055S01018,471.85,15.89
378,ONGC,INE213A01029,235.96,10.61
379,HEXT,INE093A01041,555.15,14.69
380,ASHAPURMIN,INE348A01023,663.05,23.6
381,GODREJCP,INE102D01028,1077.2,10.21
382,LGBBROSLTD,INE337A01034,1613.8,14.6
383,GOLDADD,INF740KA1SW3,138.4,11.94
384,ZFCVINDIA,INE342J01019,2433.2,12.91
385,HEROMOTOCO,INE158A01026,4867.1,10.56
386,IONEXCHANG,INE570A01022,416.9,15.6
387,GODREJPROP,INE484J01027,1968.7,15.07
388,RBA,INE07T201019,77.56,12.32
389,IGL,INE203G01027,155.8,12.66
390,GICRE,INE481Y01014,359.65,12.87
391,APOLLOHOSP,INE437A01024,8696,9
392,KEC,INE389H01022,515.3,16.44
393,SAIL,INE114A01011,168.12,15.4
394,LICHSGFIN,INE115A01026,552.9,11.14
395,INDIGO,INE646L01027,5444,13.67
396,TATASTEEL,INE081A01020,187.67,11.31
397,SGBMAY29I,IN0020210053,14254.36,10
398,IDBI,INE008A01015,84.41,20.27
399,ZENSARTECH,INE520A01027,467.35,14.86
400,GOLDAXIS,INF846K01W80,118.82,13.25
401,FIEMIND,INE737H01014,2261.7,14.4
402,MEDPLUS,INE804L01022,816.95,11.78
403,CARYSIL,INE482D01024,1183,19.69
404,YATHARTH,INE0JO301016,862.6,15.38
405,BEML,INE258A01024,1867,18.16
406,NUVOCO,INE118D01016,315.8,13.13
407,CUB,INE491A01021,217.8,14.45
408,FIVESTAR,INE128S01021,543.9,16.96
409,RVNL,INE415G01027,236.85,17.06
410,BAJAJFINSV,INE918I01026,1855.7,9.68
411,NEULANDLAB,INE794A01010,18988,18.49
412,GPPL,INE517F01014,153.7,12.9
