Date,ISIN,Scrip Name,Symbol,Notional Open Interest,Portfolio-wise Futures Equivalent Open Interest
02-07-2026,INE028A01039,BANK OF BARODA,BANKBARODA,198677700,126867450.57352525
02-07-2026,INE935N01020,DIXON TECHNO (INDIA) LTD,DIXON,5056750,2974341.24466800
02-07-2026,INE127D01025,HDFC AMC LIMITED,HDFCAMC,6911100,5526419.45092600
02-07-2026,INE296A01032,BAJAJ FINANCE LIMITED,BAJFINANCE,101665500,83105669.34538500
02-07-2026,INE095N01031,NBCC (INDIA) LIMITED,NBCC,146217500,115434827.20176000
02-07-2026,INE572E01012,PNB HOUSING FIN LTD.,PNBHOUSING,11968450,10326399.60802900
02-07-2026,INE465A01025,BHARAT FORGE LTD,BHARATFORG,12355500,9407311.72227000
02-07-2026,INE982J01020,ONE 97 COMMUNICATIONS LTD,PAYTM,29417600,21235542.69618375
02-07-2026,INE257A01026,BHEL,BHEL,117334875,78624650.35932875
02-07-2026,INE238A01034,AXIS BANK LIMITED,AXISBANK,77185625,62912325.79948750
02-07-2026,INE038A01020,HINDALCO  INDUSTRIES  LTD,HINDALCO,73812900,54095508.33341800
02-07-2026,INE089A01031,DR. REDDY S LABORATORIES,DRREDDY,25690000,14107454.89393750
02-07-2026,INE795G01014,HDFC LIFE INS CO LTD,HDFCLIFE,58260400,41016155.62384100
02-07-2026,INE457L01029,PG ELECTROPLAST LTD,PGEL,19929100,13483191.06253000
02-07-2026,INE918Z01012,KAYNES TECHNOLOGY IND LTD,KAYNES,5841300,4105694.71798300
02-07-2026,INE947Q01028,LAURUS LABS LIMITED,LAURUSLABS,24315950,16578602.57938450
02-07-2026,INE242A01010,INDIAN OIL CORP LTD,IOC,226161000,146265957.94686750
02-07-2026,INE070A01015,SHREE CEMENT LIMITED,SHREECEM,456525,372379.14232250
02-07-2026,INE280A01028,TITAN COMPANY LIMITED,TITAN,13405350,9106022.69025675
02-07-2026,INE118A01012,BAJAJ HOLDINGS & INVS LTD,BAJAJHLDNG,356850,288258.58550175
