Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
02-Jul-26,CGPOWER,959.4,976.5, -0.01766666,  0.02191804,  0.02189883,  0.41837647,962.35,979.85, -0.01802129,  0.02189388,  0.02187618,  0.41794378,  0.02189883,  0.41837647
02-Jul-26,CHOLAFIN,1788.5,1803.3, -0.00824104,  0.02169467,  0.02164824,  0.41358904,1799,1813.7, -0.00813800,  0.02137103,  0.02132528,  0.40741889,  0.02164824,  0.41358904
02-Jul-26,CIPLA,1456,1456.7, -0.00048065,  0.01432956,  0.01429386,  0.27308383,1461.7,1461.6,  0.00006842,  0.01422592,  0.01419042,  0.27110766,  0.01429386,  0.27308383
02-Jul-26,COALINDIA,438.9,434.75,  0.00950044,  0.01562275,  0.01559811,  0.29800142,440.15,436.15,  0.00912936,  0.01576543,  0.01573925,  0.30069794,  0.01573925,  0.30069794
02-Jul-26,COCHINSHIP,1519.3,1504.5,  0.00978909,  0.02786507,  0.02780390,  0.53119276,1506.5,1474.9,  0.02119889,  0.02777820,  0.02774921,  0.53014797,  0.02780390,  0.53119276
02-Jul-26,COFORGE,1441.9,1370.7,  0.05064013,  0.02448719,  0.02468692,  0.47164294,1444.6,1373.1,  0.05076151,  0.02415520,  0.02436055,  0.46540762,  0.02468692,  0.47164294
02-Jul-26,COLPAL,2061.5,2071.8, -0.00498392,  0.01555101,  0.01551596,  0.29643202,2072.5,2084.9, -0.00596528,  0.01572200,  0.01568828,  0.29972410,  0.01568828,  0.29972410
02-Jul-26,CONCOR,477.45,480.25, -0.00584736,  0.01768836,  0.01764898,  0.33718332,480.2,482.85, -0.00550336,  0.01787053,  0.01783016,  0.34064474,  0.01783016,  0.34064474
02-Jul-26,CROMPTON,274.15,269.45,  0.01729256,  0.01862267,  0.01861615,  0.35566111,272.75,268.4,  0.01607722,  0.01881290,  0.01880034,  0.35917997,  0.01880034,  0.35917997
02-Jul-26,CUMMINSIND,5578.5,5663, -0.01503386,  0.01951329,  0.01949349,  0.37242264,5562.5,5643, -0.01436819,  0.01927959,  0.01925808,  0.36792514,  0.01949349,  0.37242264
02-Jul-26,DABUR,447,444.75,  0.00504627,  0.01487091,  0.01483784,  0.28347662,444.15,442.2,  0.00440007,  0.01489926,  0.01486529,  0.28400097,  0.01486529,  0.28400097
02-Jul-26,DALBHARAT,1747.9,1708.9,  0.02256518,  0.01794023,  0.01796627,  0.34324502,1756.2,1718,  0.02199156,  0.01816628,  0.01818731,  0.34746799,  0.01818731,  0.34746799
02-Jul-26,DELHIVERY,509.3,507.7,  0.00314651,  0.02061193,  0.02056150,  0.39282689,512.45,509.4,  0.00596958,  0.02069216,  0.02064479,  0.39441815,  0.02064479,  0.39441815
02-Jul-26,DIVISLAB,6682,6545.5,  0.02063955,  0.01487779,  0.01491218,  0.28489686,6698.5,6555.5,  0.02157923,  0.01472290,  0.01476498,  0.28208447,  0.01491218,  0.28489686
02-Jul-26,DIXON,12373,11956,  0.03428343,  0.02534890,  0.02540146,  0.48529412,12465,12018,  0.03651919,  0.02576887,  0.02583366,  0.49355142,  0.02583366,  0.49355142
02-Jul-26,DLF,658.2,648.7,  0.01453848,  0.01995425,  0.01993078,  0.38077701,656.55,649.85,  0.01025729,  0.01996494,  0.01992820,  0.38072768,  0.01993078,  0.38077701
02-Jul-26,DMART,4187,4328.7, -0.03328278,  0.01648246,  0.01660874,  0.31730960,4173,4319.1, -0.03441185,  0.01678749,  0.01692134,  0.32328176,  0.01692134,  0.32328176
02-Jul-26,DRREDDY,1345.7,1339.9,  0.00431934,  0.01448459,  0.01445145,  0.27609448,1341.2,1328.9,  0.00921320,  0.01444309,  0.01442156,  0.27552353,  0.01445145,  0.27609448
02-Jul-26,EICHERMOT,7250,7139,  0.01542876,  0.01758587,  0.01757566,  0.33578257,7295,7181.5,  0.01568091,  0.01742374,  0.01741555,  0.33272368,  0.01757566,  0.33578257
02-Jul-26,ETERNAL,279.7,279.7,  0.00000000,  0.02345259,  0.02339380,  0.44693793,280.55,280.55,  0.00000000,  0.02327831,  0.02322005,  0.44361838,  0.02339380,  0.44693793
02-Jul-26,EXIDEIND,419.35,390.35,  0.07166212,  0.01937485,  0.01997950,  0.38170780,419.9,390.4,  0.07284473,  0.01975145,  0.02036421,  0.38905775,  0.02036421,  0.38905775
02-Jul-26,FEDERALBNK,331,331.4, -0.00120773,  0.01602788,  0.01598790,  0.30544834,332.95,331.5,  0.00436452,  0.01580038,  0.01576379,  0.30116674,  0.01598790,  0.30544834
02-Jul-26,FINNIFTY,26862.4,26797.75,  0.00240961,  0.01123403,  0.01120705,  0.21411044,27013.6,26931.9,  0.00302899,  0.01100233,  0.01097682,  0.20971189,  0.01120705,  0.21411044
02-Jul-26,FOCIT,32707.23,31361.2,  0.04202469,  0.01529337,  0.01554191,  0.29692775,33102,32084,  0.03123624,  0.01515708,  0.01527972,  0.29191862,  0.01554191,  0.29692775
02-Jul-26,FORCEMOT,19367,18324,  0.05535891,  0.03289562,  0.03304591,  0.63134130,19455,18445,  0.05331078,  0.03332159,  0.03345129,  0.63908592,  0.03345129,  0.63908592
02-Jul-26,FORTIS,974.95,949.05,  0.02692470,  0.01753625,  0.01759566,  0.33616453,980.6,954.25,  0.02723894,  0.01728405,  0.01734809,  0.33143472,  0.01759566,  0.33616453
02-Jul-26,GAIL,174.29,174.5, -0.00120416,  0.01787856,  0.01783393,  0.34071675,175.17,175.13,  0.00022838,  0.01802253,  0.01797738,  0.34345737,  0.01797738,  0.34345737
02-Jul-26,GLENMARK,2196,2161.8,  0.01569632,  0.01892971,  0.01891481,  0.36136703,2205.3,2169.5,  0.01636683,  0.01884182,  0.01883014,  0.35974939,  0.01891481,  0.36136703
02-Jul-26,GMRAIRPORT,111.79,113.53, -0.01544501,  0.02063273,  0.02061005,  0.39375447,112.13,114.1, -0.01741634,  0.02092011,  0.02090403,  0.39937090,  0.02090403,  0.39937090
02-Jul-26,GODFRYPHLP,2171.3,2159.6,  0.00540305,  0.03433618,  0.03425232,  0.65438957,2172.8,2161.5,  0.00521423,  0.03440410,  0.03431993,  0.65568138,  0.03431993,  0.65568138
02-Jul-26,GODREJCP,1077.2,1043.6,  0.03168881,  0.01608761,  0.01620299,  0.30955767,1082.5,1049.6,  0.03086404,  0.01589018,  0.01600001,  0.30567984,  0.01620299,  0.30955767
02-Jul-26,GODREJPROP,1968.7,1959.5,  0.00468409,  0.02345443,  0.02339806,  0.44701928,1966,1958.8,  0.00366898,  0.02363252,  0.02357488,  0.45039739,  0.02357488,  0.45039739
02-Jul-26,GRASIM,3169.1,3140.4,  0.00909746,  0.01436127,  0.01433989,  0.27396330,3176.4,3146,  0.00961668,  0.01440665,  0.01438661,  0.27485587,  0.01438661,  0.27485587
02-Jul-26,GVT&D,4822.8,4895.6, -0.01498217,  0.02859645,  0.02854459,  0.54534360,4835.9,4924.4, -0.01813519,  0.02865997,  0.02861691,  0.54672528,  0.02861691,  0.54672528
02-Jul-26,HAL,4434,4434.3, -0.00006766,  0.01972652,  0.01967725,  0.37593341,4453.9,4459.4, -0.00123411,  0.01990690,  0.01985715,  0.37937023,  0.01985715,  0.37937023
02-Jul-26,HAVELLS,1186.7,1188.8, -0.00176805,  0.01578704,  0.01574800,  0.30086510,1190.1,1196, -0.00494532,  0.01606051,  0.01602412,  0.30614048,  0.01602412,  0.30614048
02-Jul-26,HCLTECH,1078,1034.3,  0.04138260,  0.01760218,  0.01780038,  0.34007571,1068.5,1019.7,  0.04674733,  0.01712166,  0.01739571,  0.33234462,  0.01780038,  0.34007571
02-Jul-26,HDFCAMC,2761,2745.8,  0.00552046,  0.02046800,  0.02042052,  0.39013351,2772.1,2754.6,  0.00633291,  0.02019654,  0.02015096,  0.38498347,  0.02042052,  0.39013351
02-Jul-26,HDFCBANK,795.95,796.15, -0.00025124,  0.01336034,  0.01332696,  0.25461118,800.25,801.3, -0.00131123,  0.01306454,  0.01303208,  0.24897760,  0.01332696,  0.25461118
02-Jul-26,HDFCLIFE,571.35,569.95,  0.00245334,  0.01454886,  0.01451350,  0.27728007,574.45,573.5,  0.00165512,  0.01429970,  0.01426434,  0.27251977,  0.01451350,  0.27728007
02-Jul-26,HEROMOTOCO,4867.1,4834.9,  0.00663783,  0.01677063,  0.01673511,  0.31972391,4815,4776.3,  0.00806986,  0.01683422,  0.01680175,  0.32099690,  0.01680175,  0.32099690
02-Jul-26,HINDALCO,949.2,939.7,  0.01005885,  0.01901917,  0.01898492,  0.36270642,947,940.55,  0.00683428,  0.01885822,  0.01881716,  0.35950127,  0.01898492,  0.36270642
02-Jul-26,HINDPETRO,399.55,392.1,  0.01882200,  0.02349628,  0.02347533,  0.44849548,402,394.3,  0.01934005,  0.02341433,  0.02339571,  0.44697433,  0.02347533,  0.44849548
02-Jul-26,HINDUNILVR,2210.6,2182,  0.01302208,  0.01295154,  0.01295180,  0.24744383,2223.8,2195.7,  0.01271654,  0.01273504,  0.01273490,  0.24329990,  0.01295180,  0.24744383
02-Jul-26,HINDZINC,528.7,524.4,  0.00816641,  0.02562026,  0.02556270,  0.48837463,530.5,527.6,  0.00548154,  0.02577182,  0.02571030,  0.49119450,  0.02571030,  0.49119450
02-Jul-26,HYUNDAI,1950.7,1918.3,  0.01674891,  0.01733490,  0.01733205,  0.33112845,1958.8,1919.1,  0.02047571,  0.01783666,  0.01785093,  0.34104144,  0.01785093,  0.34104144
02-Jul-26,ICICIBANK,1400,1379.8,  0.01453368,  0.01244619,  0.01245759,  0.23800195,1404.3,1386.9,  0.01246792,  0.01204203,  0.01204418,  0.23010367,  0.01245759,  0.23800195
02-Jul-26,ICICIGI,1761,1757.6,  0.00193259,  0.01446080,  0.01442509,  0.27559089,1769,1765.2,  0.00215042,  0.01441488,  0.01437964,  0.27472272,  0.01442509,  0.27559089
02-Jul-26,ICICIPRULI,495.95,492.95,  0.00606737,  0.01628434,  0.01624925,  0.31044151,498.7,494.9,  0.00764899,  0.01644586,  0.01641372,  0.31358367,  0.01641372,  0.31358367
02-Jul-26,IDEA,14.48,14.64, -0.01098912,  0.03192986,  0.03185948,  0.60867443,14.55,14.71, -0.01093654,  0.03214075,  0.03206966,  0.61268993,  0.03206966,  0.61268993
02-Jul-26,IDFCFIRSTB,79.52,78.93,  0.00744718,  0.02044531,  0.02040091,  0.38975890,79.86,79.17,  0.00867766,  0.02060177,  0.02055929,  0.39278466,  0.02055929,  0.39278466
02-Jul-26,IEX,123.5,123.86, -0.00291074,  0.02524717,  0.02518482,  0.48115535,124.28,124.66, -0.00305295,  0.02543444,  0.02537168,  0.48472523,  0.02537168,  0.48472523
02-Jul-26,INDHOTEL,720.7,718.8,  0.00263981,  0.01775769,  0.01771435,  0.33843215,723.7,723.25,  0.00062200,  0.01775400,  0.01770949,  0.33833928,  0.01771435,  0.33843215
02-Jul-26,INDIANB,815.1,820.95, -0.00715140,  0.02078408,  0.02073827,  0.39620408,820.15,826.05, -0.00716805,  0.02067926,  0.02063368,  0.39420591,  0.02073827,  0.39620408
02-Jul-26,INDIGO,5444,5399,  0.00830033,  0.02139375,  0.02134821,  0.40785696,5458.5,5424,  0.00634048,  0.02104218,  0.02099422,  0.40109396,  0.02134821,  0.40785696
02-Jul-26,INDUSINDBK,943.5,941.6,  0.00201581,  0.02190405,  0.02184975,  0.41743880,947.35,945.15,  0.00232497,  0.02185557,  0.02180158,  0.41651851,  0.02184975,  0.41743880
02-Jul-26,INDUSTOWER,383.75,388.85, -0.01320237,  0.01861255,  0.01858950,  0.35515182,386.05,391.55, -0.01414633,  0.01855594,  0.01853642,  0.35413787,  0.01858950,  0.35515182
02-Jul-26,INFY,1040.9,985.3,  0.05489484,  0.01840868,  0.01876840,  0.35856977,1043.6,988.3,  0.05444526,  0.01781646,  0.01818418,  0.34740821,  0.01876840,  0.35856977
02-Jul-26,INOXWIND,89.96,89.85,  0.00122351,  0.02824264,  0.02817214,  0.53822790,90.6,90.45,  0.00165700,  0.02849238,  0.02842138,  0.54298963,  0.02842138,  0.54298963
02-Jul-26,IOC,141.62,139.83,  0.01272002,  0.01792394,  0.01790175,  0.34201245,142.61,140.72,  0.01334153,  0.01812398,  0.01810325,  0.34586206,  0.01810325,  0.34586206
02-Jul-26,IREDA,128.58,127.93,  0.00506804,  0.02347312,  0.02341716,  0.44738425,127.05,125.64,  0.01116004,  0.02527902,  0.02522811,  0.48198238,  0.02522811,  0.48198238
02-Jul-26,IRFC,90.83,91.18, -0.00384595,  0.02201390,  0.02196044,  0.41955361,90.76,91.69, -0.01019466,  0.02299953,  0.02295332,  0.43852250,  0.02295332,  0.43852250
02-Jul-26,ITC,289.9,290.3, -0.00137884,  0.01246061,  0.01242993,  0.23747348,291.6,291.4,  0.00068611,  0.01236596,  0.01233522,  0.23566413,  0.01242993,  0.23747348
02-Jul-26,JINDALSTEL,1043.8,1028.8,  0.01447483,  0.01896067,  0.01894096,  0.36186658,1049.6,1035.3,  0.01371790,  0.01882121,  0.01879919,  0.35915810,  0.01894096,  0.36186658
02-Jul-26,JIOFIN,239.73,240.01, -0.00116730,  0.01873565,  0.01868881,  0.35704926,240.63,241.39, -0.00315340,  0.01933837,  0.01929119,  0.36855760,  0.01929119,  0.36855760
02-Jul-26,JSWENERGY,565.35,569.45, -0.00722597,  0.02195649,  0.02190755,  0.41854310,568.8,572.45, -0.00639652,  0.02210959,  0.02205879,  0.42143268,  0.02205879,  0.42143268
02-Jul-26,JSWSTEEL,1223.8,1216.2,  0.00622953,  0.01568421,  0.01565101,  0.29901211,1223.4,1214.9,  0.00697210,  0.01578342,  0.01575174,  0.30093665,  0.01575174,  0.30093665
02-Jul-26,JUBLFOOD,431.6,421.45,  0.02379809,  0.02004530,  0.02006571,  0.38335484,433.3,423.2,  0.02358545,  0.01983685,  0.01985734,  0.37937391,  0.02006571,  0.38335484
02-Jul-26,KALYANKJIL,388.1,381.05,  0.01833244,  0.02780295,  0.02776356,  0.53042211,390.4,383.65,  0.01744118,  0.02796395,  0.02792116,  0.53343298,  0.02792116,  0.53343298
02-Jul-26,KAYNES,3158.3,3152.1,  0.00196501,  0.03412687,  0.03404168,  0.65036542,3166,3162,  0.00126422,  0.03530080,  0.03521260,  0.67273579,  0.03521260,  0.67273579
02-Jul-26,KEI,5276.5,5247.5,  0.00551123,  0.02350044,  0.02344484,  0.44791304,5251.5,5219.5,  0.00611214,  0.02372866,  0.02367322,  0.45227631,  0.02367322,  0.45227631
02-Jul-26,KFINTECH,869.05,881.65, -0.01439449,  0.02501415,  0.02497233,  0.47709577,859.6,875.35, -0.01815664,  0.02588666,  0.02585378,  0.49393569,  0.02585378,  0.49393569
02-Jul-26,KOTAKBANK,399.35,400.45, -0.00275069,  0.01401065,  0.01397699,  0.26703008,400.4,401.75, -0.00336596,  0.01369009,  0.01365795,  0.26093473,  0.01397699,  0.26703008
02-Jul-26,KPITTECH,558.8,557.55,  0.00223944,  0.02661162,  0.02654551,  0.50715128,547.2,550.45, -0.00592176,  0.02648667,  0.02642362,  0.50482253,  0.02654551,  0.50715128
02-Jul-26,LAURUSLABS,1527.9,1493.3,  0.02290581,  0.02018762,  0.02020212,  0.38596097,1533.9,1500.8,  0.02181521,  0.01997145,  0.01998112,  0.38173879,  0.02020212,  0.38596097
02-Jul-26,LICHSGFIN,552.9,554.45, -0.00279948,  0.01764429,  0.01760121,  0.33627064,555.3,555.7, -0.00072007,  0.01783006,  0.01778547,  0.33979098,  0.01778547,  0.33979098
02-Jul-26,LICI,432.1,434.7, -0.00599910,  0.01672196,  0.01668538,  0.31877370,429.9,434.85, -0.01144852,  0.01732383,  0.01729956,  0.33050761,  0.01729956,  0.33050761
02-Jul-26,LODHA,1006.2,992.3,  0.01391066,  0.02477784,  0.02473536,  0.47256831,1008.5,995.35,  0.01312492,  0.02472997,  0.02468549,  0.47161564,  0.02473536,  0.47256831
