MIRAEAMC - MASPTOP50          ,MASPTOP50 ,X8,04-AUG-2026,N,0000000.80,0000000.92,0000000.92,0000000.92,0000000.92,    ,            75,             69.00,0000004.23,0000000.40,02-JUL-2026,       1
MULTI COMMODITY EXCHANGE      ,MCX       ,X8,04-AUG-2026,N,0000008.99,0000005.04,0000013.80,0000002.00,0000002.00,    ,        218788,        1867515.90,0000019.00,0000002.00,02-JUL-2026,     908
MOTILAL OS NASDAQ100 ETF      ,MON100    ,X8,04-AUG-2026,N,0000003.25,0000002.00,0000002.00,0000002.00,0000002.00,    ,          1720,           3440.00,0000005.00,0000001.24,02-JUL-2026,       3
MOTILAL OS NASDAQ100 ETF      ,MON100    ,X9,01-SEP-2026,N,0000003.55,0000003.55,0000003.55,0000003.55,0000003.55,    ,           732,           2598.60,0000004.00,0000003.00,02-JUL-2026,       1
SAMVRDHNA MTHRSN INTL LTD     ,MOTHERSON ,X8,04-AUG-2026,N,0000000.11,0000000.11,0000000.30,0000000.11,0000000.30,    ,          1900,            551.00,0000003.25,0000000.11,02-JUL-2026,       3
MTAR TECHNOLOGIES LIMITED     ,MTARTECH  ,X8,04-AUG-2026,N,0000020.00,0000025.00,0000060.00,0000022.00,0000060.00,    ,           950,          41686.01,0000060.00,0000005.00,02-JUL-2026,      21
MUTHOOT FINANCE LIMITED       ,MUTHOOTFIN,X8,04-AUG-2026,N,0000015.00,0000001.00,0000001.00,0000001.00,0000001.00,    ,             3,              3.00,0000026.30,0000000.50,02-JUL-2026,       1
NIPPON L I A M LTD            ,NAM-INDIA ,X8,04-AUG-2026,N,0000002.00,0000000.25,0000000.25,0000000.25,0000000.25,    ,            61,             15.25,0000020.00,0000000.25,02-JUL-2026,       1
NHPC LTD                      ,NHPC      ,X7,07-JUL-2026,N,0000000.03,0000000.03,0000000.03,0000000.03,0000000.03,    ,          7000,            210.00,0000005.50,0000000.01,02-JUL-2026,       1
NHPC LTD                      ,NHPC      ,X8,04-AUG-2026,N,0000000.65,0000000.18,0000001.10,0000000.18,0000001.04,    ,       1667116,        1583908.46,0000004.00,0000000.01,02-JUL-2026,     605
NUVAMA WEALTH MANAGE LTD      ,NUVAMA    ,X8,04-AUG-2026,N,0000015.00,0000015.00,0000017.00,0000006.00,0000006.00,    ,         28099,         444968.30,0000025.00,0000001.00,02-JUL-2026,      48
PERSISTENT SYSTEMS LTD        ,PERSISTENT,X8,04-AUG-2026,N,0000004.00,0000020.00,0000020.00,0000020.00,0000020.00,    ,             9,            180.00,0000051.00,0000002.05,02-JUL-2026,       1
PERSISTENT SYSTEMS LTD        ,PERSISTENT,X9,01-SEP-2026,N,0000004.80,0000015.00,0000015.00,0000015.00,0000015.00,    ,           260,           3900.00,0000015.00,0000004.80,02-JUL-2026,       1
PI INDUSTRIES LTD             ,PIIND     ,X8,04-AUG-2026,N,0000010.00,0000049.93,0000049.95,0000049.93,0000049.94,    ,           475,          23722.77,0000049.95,0000002.88,02-JUL-2026,       6
POLYCAB INDIA LIMITED         ,POLYCAB   ,X8,04-AUG-2026,N,0000030.00,0000027.00,0000034.40,0000015.00,0000015.00,    ,         14723,         425461.25,0000130.00,0000004.70,02-JUL-2026,     225
RAIL VIKAS NIGAM LIMITED      ,RVNL      ,X4,06-APR-2027,N,0000001.00,0000001.00,0000005.46,0000001.00,0000005.46,    ,            61,             69.92,0000140.00,0000000.05,02-JUL-2026,       3
RAIL VIKAS NIGAM LIMITED      ,RVNL      ,X5,04-MAY-2027,N,0000054.50,0000000.75,0000000.75,0000000.75,0000000.75,    ,          1600,           1200.00,0000151.00,0000000.01,02-JUL-2026,       2
RAIL VIKAS NIGAM LIMITED      ,RVNL      ,X7,07-JUL-2026,N,0000000.05,0000000.05,0000000.05,0000000.05,0000000.05,    ,           720,             36.00,0000025.00,0000000.01,02-JUL-2026,       3
RAIL VIKAS NIGAM LIMITED      ,RVNL      ,X8,04-AUG-2026,N,0000000.50,0000000.25,0000000.50,0000000.20,0000000.50,    ,         10145,           2618.00,0000029.88,0000000.11,02-JUL-2026,      28
SBI CARDS & PAY SER LTD       ,SBICARD   ,X7,07-JUL-2026,N,0000001.00,0000002.00,0000002.00,0000002.00,0000002.00,    ,           319,            638.00,0000026.99,0000000.25,02-JUL-2026,       1
SBI CARDS & PAY SER LTD       ,SBICARD   ,X8,04-AUG-2026,N,0000002.75,0000004.00,0000004.00,0000004.00,0000004.00,    ,            50,            200.00,0000034.00,0000000.50,02-JUL-2026,       1
SIEMENS LTD                   ,SIEMENS   ,X8,04-AUG-2026,N,0000013.30,0000012.00,0000012.00,0000012.00,0000012.00,    ,            30,            360.00,0000036.50,0000004.00,02-JUL-2026,       1
SUN PHARMACEUTICAL IND L      ,SUNPHARMA ,X9,01-SEP-2026,N,0000000.11,0000000.11,0000000.11,0000000.11,0000000.11,    ,            10,              1.10,0000000.76,0000000.11,02-JUL-2026,       1
TATA ELXSI LIMITED            ,TATAELXSI ,X8,04-AUG-2026,N,0000026.50,0000035.00,0000049.00,0000026.05,0000042.54,    ,         21082,         775293.95,0000086.00,0000000.01,02-JUL-2026,     189
