Sr no,Security,Series,Outstanding Quantity at the end of the day
249,GOKEX,X7,18
250,GOLDIAM,X7,5
251,GRASIM,X7,54067
252,GRASIM,X8,2250
253,GRAVITA,X7,1
254,GRINDWELL,X7,2
255,GROWW,X7,265
256,GRSE,X7,68
257,GRWRHITECH,X7,4
258,GVT&D,X7,32
259,GVT&D,X8,15
260,HAL,X7,1021
261,HAPPSTMNDS,X7,2
262,HAVELLS,X4,27
263,HBLENGINE,X7,586
264,HCC,X7,375
265,HCLTECH,X4,3
266,HCLTECH,X5,1
267,HCLTECH,X6,5
268,HCLTECH,X7,10007301
269,HCLTECH,X8,14463763
270,HCLTECH,X9,35021
271,HDFCAMC,X7,452
272,HDFCBANK,X7,73886
273,HDFCBANK,X8,1548
274,HDFCBANK,X9,538
275,HDFCBANK,XN,2
276,HDFCLIFE,X7,2241
277,HDFCLIFE,X8,10250
278,HEROMOTOCO,X7,8
279,HEROMOTOCO,X8,737
280,HEXT,X7,11
281,HFCL,X7,812904
282,HFCL,X8,5000
283,HINDALCO,X7,370312
284,HINDALCO,X8,4420
285,HINDCOPPER,X7,1332
286,HINDCOPPER,X8,5
287,HINDOILEXP,X7,1
288,HINDUNILVR,X7,6311
289,HINDUNILVR,X8,1051
290,HINDZINC,X7,14711
291,HINDZINC,X8,285
292,HIRECT,X7,1
293,HYUNDAI,X4,270
294,HYUNDAI,X5,108
295,HYUNDAI,X7,524435
296,HYUNDAI,X8,8128
297,ICICIBANK,X7,162670
298,ICICIBANK,X8,148750
299,ICICIGI,X7,17492
300,ICICIGI,X8,42
301,ICICIPRULI,X7,156
302,ICICIPRULI,X8,88
303,IDEA,X7,145446
304,IDEA,X8,11
305,IDEAFORGE,X7,11471
306,IDEAFORGE,X8,10633
307,IDEAFORGE,X9,3822
308,IDFCFIRSTB,X7,74672
309,IDFCFIRSTB,X8,1
310,IFBIND,X7,7
311,IFCI,X7,222660
312,IKS,X7,1
313,IMFA,X7,2
314,INDHOTEL,X8,469
315,INDIAMART,X7,22
316,INDIANB,X5,1
317,INDIANB,X7,1344993
318,INDIANB,X8,267337
319,INDIGO,X7,330270
320,INDIGO,X8,25087
321,INDUSINDBK,X7,28
322,INDUSTOWER,X7,483
323,INFY,X6,23
324,INFY,X7,14974804
325,INFY,X8,27507095
326,INFY,X9,1
327,INOXINDIA,X7,630
328,INOXWIND,X7,3747
329,IOC,X7,12285
330,IONEXCHANG,X7,13
331,IPCALAB,X7,7
332,IRCTC,X1,7
333,IRCTC,X7,108414
334,IRCTC,X8,149754
335,IREDA,X1,497
336,IREDA,X2,118
337,IREDA,X4,1545
338,IREDA,X5,3433
339,IREDA,X6,603
340,IREDA,X7,8152817
341,IREDA,X8,13137973
342,IREDA,X9,407
343,IRFC,X2,1167
344,IRFC,X4,234
345,IRFC,X5,1607
346,IRFC,X6,85
347,IRFC,X7,8433828
348,IRFC,X8,11058918
349,IRFC,X9,1992
350,ITBEES,X7,75369
351,ITBEES,X8,13445
352,ITC,07,1600
353,ITC,X7,190726
354,ITC,X8,2443000
355,ITCHOTELS,X7,1000
356,JAIBALAJI,X7,21500
357,JAIBALAJI,X8,25082
358,JAIBALAJI,X9,18915
359,JINDALSTEL,X7,14
360,JIOFIN,X7,4957
361,JKCEMENT,X7,5
362,JSLL,X7,13591
363,JSWENERGY,X7,1652
364,JSWHL,X7,3
365,JSWINFRA,X7,1247508
366,JSWINFRA,X8,23339
367,JSWSTEEL,X7,26119
368,JUBLFOOD,X4,23
369,JUBLFOOD,X5,617
370,JUBLFOOD,X6,795
371,JUBLFOOD,X7,1226008
372,JUNIORBEES,X7,20
373,JWL,X8,601
374,JYOTICNC,X7,58
375,KAJARIACER,X8,14930
376,KALYANKJIL,X7,3539
377,KARURVYSYA,X7,1
378,KAYNES,X4,25
379,KAYNES,X5,8
380,KAYNES,X6,8
381,KAYNES,X7,146261
382,KAYNES,X8,345547
383,KAYNES,X9,18
384,KAYNES,XO,1
385,KEC,X7,14
386,KEI,X4,5
387,KEI,X5,91
388,KEI,X7,16376
389,KEI,X8,401198
390,KEI,X9,350
391,KERNEX,X7,14
392,KFINTECH,X4,106
393,KFINTECH,X5,688
394,KFINTECH,X7,198443
395,KFINTECH,X8,13457
396,KFINTECH,X9,414
397,KFINTECH,XD,35
398,KIMS,X7,63441
399,KIRLOSBROS,X7,1
400,KIRLOSENG,X7,43724
401,KNRCON,X7,1
402,KOTAKBANK,X7,3620500
403,KOTAKBANK,X8,2800000
404,KPIGREEN,X7,1
405,KPIGREEN,X8,1550
406,KPIL,X7,16
407,KPITTECH,X4,157
408,KPITTECH,X5,83
409,KPITTECH,X7,658842
410,KPITTECH,X8,885158
411,KPITTECH,XD,13
412,KPITTECH,XO,5
413,KPRMILL,X7,41
414,KRN,X7,21448
415,KRN,X8,6693
416,KRN,X9,2265
417,KSB,X7,2690
418,KSB,X8,4190
419,KSCL,X7,48
420,LALPATHLAB,X7,1
421,LAURUSLABS,X7,12735
422,LAURUSLABS,X8,4103
423,LENSKART,X7,20
424,LGEINDIA,X7,1
425,LICHSGFIN,X7,4900
426,LICI,X6,62
427,LICI,X7,1260855
428,LICI,X8,2690700
429,LINDEINDIA,X7,1
430,LLOYDSENGG,X7,35
431,LLOYDSME,X7,1
432,LT,X7,43456
433,LT,X8,7700
434,LTF,X2,5
435,LTF,X4,1
436,LTF,X5,35942
437,LTF,X6,9
438,LTF,X7,2125240
439,LTF,X8,8360676
440,LTF,X9,322429
441,LTM,X2,310
442,LTM,X5,85
443,LTM,X7,214584
444,LTM,X8,473705
445,LTTS,X7,66
446,LUPIN,X7,293036
447,LUPIN,X8,18620
448,M&M,X7,2253
449,M&MFIN,X7,2
450,MAFANG,X8,76526
451,MAFANG,X9,26443
452,MAHABANK,X7,262
453,MAHKTECH,X7,18581
454,MAHKTECH,X8,269290
455,MAHKTECH,X9,21286
456,MANAPPURAM,X7,192
457,MANAPPURAM,X8,1755
458,MANKIND,X4,4
459,MANKIND,X7,199294
460,MANORAMA,X8,84000
461,MAPMYINDIA,X7,6
462,MARICO,X7,160797
463,MARKSANS,X7,5
464,MARUTI,07,50
465,MARUTI,X3,211
466,MARUTI,X7,348
467,MARUTI,X8,181
468,MASPTOP50,X7,10183
469,MASPTOP50,X8,12864
470,MASPTOP50,X9,116
471,MAXHEALTH,X7,10735
472,MAXHEALTH,X8,2273
473,MAZDOCK,X7,222527
474,MAZDOCK,X8,842343
475,MCX,X7,41773
476,MCX,X8,490354
477,MEDANTA,X7,39
478,MEESHO,X7,757855
479,MEESHO,X8,29522
480,METROPOLIS,X7,372
481,MFSL,X7,400
482,MGL,X7,6
483,MID150BEES,X7,1
484,MON100,X7,233477
485,MON100,X8,148816
486,MON100,X9,31117
487,MONQ50,X7,1044
488,MONQ50,X8,6218
489,MONQ50,X9,1
490,MOREALTY,X7,5
491,MOREPENLAB,X7,231
492,MOTHERSON,X7,11099358
493,MOTHERSON,X8,11681046
494,MPHASIS,X7,23273
495,MRPL,X7,10
496,MSTCLTD,X7,33190
