Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,02072026,1980061622,0003156
Trade Date <02-JUL-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,232,9IIFL28,Y0,20,20,100.00
20,233,9IIFL28A,NT,295,200,67.80
20,234,9SCL26BA,NA,15,15,100.00
20,235,9SCL27,N2,10,10,100.00
20,236,A2ZINFRA,EQ,209016,175644,84.03
20,237,AAATECH,EQ,61056,25088,41.09
20,238,AADHARHFC,EQ,1367797,669550,48.95
20,239,AAKAAR,SM,9600,8000,83.33
20,240,AAKASH,EQ,88403,58973,66.71
20,241,AARADHYA,SM,10800,8400,77.78
20,242,AARNAV,EQ,38799,16587,42.75
20,243,AARON,EQ,3930,2669,67.91
20,244,AARTECH,EQ,28559,15994,56.00
20,245,AARTIDRUGS,EQ,152506,96910,63.55
20,246,AARTIIND,EQ,1032310,373240,36.16
20,247,AARTIPHARM,EQ,262220,150296,57.32
20,248,AARTISURF,EQ,2428,1867,76.89
20,249,AARVI,EQ,6602,4666,70.68
20,250,AATMAJ,SM,6000,6000,100.00
20,251,AAVAS,EQ,56476,32644,57.80
20,252,ABB,EQ,264804,95206,35.95
20,253,ABBOTINDIA,EQ,4925,2850,57.87
20,254,ABCAPITAL,EQ,2941678,1327669,45.13
20,255,ABCOTS,EQ,28062,15310,54.56
20,256,ABDL,EQ,213375,94382,44.23
20,257,ABFRL,EQ,30179838,8595604,28.48
20,258,ABGSEC,EQ,117,117,100.00
20,259,ABINFRA,EQ,2244367,471008,20.99
20,260,ABLBL,EQ,1280095,509174,39.78
20,261,ABMINTLLTD,EQ,355,273,76.90
20,262,ABMKNO,EQ,12380,10486,84.70
20,263,ABREL,EQ,289532,135882,46.93
20,264,ABSL10BANK,EQ,1014,784,77.32
20,265,ABSLAMC,EQ,260053,140175,53.90
20,266,ABSLBANETF,EQ,12916,7707,59.67
20,267,ABSLLIQUID,EQ,5554,5484,98.74
20,268,ABSLMSCIN,EQ,11946,7593,63.56
20,269,ABSLNN50ET,EQ,15804,13496,85.40
20,270,ABSLPSE,EQ,46294,34874,75.33
20,271,ABSMARINE,ST,59500,55000,92.44
20,272,ACC,EQ,160173,70784,44.19
20,273,ACCELYA,EQ,5002,3577,71.51
20,274,ACCENTMIC,SM,61000,30500,50.00
20,275,ACCORD,ST,6000,6000,100.00
20,276,ACCPL,ST,84000,81600,97.14
20,277,ACE,EQ,208900,103442,49.52
20,278,ACEINTEG,EQ,8348,5062,60.64
20,279,ACETEC,SM,85200,84000,98.59
20,280,ACI,EQ,125107,62341,49.83
20,281,ACL,EQ,17048,13658,80.11
20,282,ACMESOLAR,EQ,1452755,528585,36.39
20,283,ACSTECH,EQ,118571,70879,59.78
20,284,ACUTAAS,EQ,402261,148798,36.99
20,285,ADANIENSOL,EQ,2583245,847313,32.80
20,286,ADANIENT,EQ,3400034,1223983,36.00
20,287,ADANIGREEN,EQ,2378828,595313,25.03
20,288,ADANIPORTS,EQ,3089068,1614780,52.27
20,289,ADANIPOWER,EQ,20862324,6397856,30.67
20,290,ADDICTIVE,SM,71500,64000,89.51
20,291,ADFFOODS,EQ,15187964,1026158,6.76
20,292,ADISOFT,SM,137600,89600,65.12
20,293,ADL,EQ,249,102,40.96
20,294,ADOR,EQ,24888,13061,52.48
20,295,ADROITINFO,EQ,40390,29827,73.85
20,296,ADSL,EQ,123969,48340,38.99
20,297,ADVAIT,EQ,27120,14115,52.05
20,298,ADVANCE,EQ,826722,341652,41.33
20,299,ADVANIHOTR,EQ,27565,20318,73.71
20,300,ADVENTHTL,EQ,87514,57463,65.66
20,301,ADVENZYMES,EQ,1582589,982794,62.10
20,302,AEGISLOG,EQ,4447583,1013114,22.78
20,303,AEGISVOPAK,EQ,961446,584686,60.81
20,304,AEL12126,NI,6,6,100.00
20,305,AEL170725,ND,22,22,100.00
20,306,AEPL,EQ,10493,8155,77.72
20,307,AEQUS,EQ,6735963,2024129,30.05
20,308,AEROENTER,EQ,873462,333600,38.19
20,309,AEROFLEX,EQ,2036402,695268,34.14
20,310,AERON,SM,20000,20000,100.00
20,311,AERONEU,EQ,90207,33407,37.03
20,312,AESTHETIK,SM,1000,1000,100.00
20,313,AETHER,EQ,456847,214969,47.05
20,314,AFCONS,EQ,267103,117682,44.06
20,315,AFFLE,EQ,193329,111879,57.87
20,316,AFSL,EQ,13059,9394,71.94
20,317,AGARIND,EQ,52873,20770,39.28
20,318,AGARWALEYE,EQ,66499,37882,56.97
20,319,AGARWALTUF,SM,45600,34800,76.32
20,320,AGI,EQ,112274,50634,45.10
20,321,AGIIL,EQ,1198957,279098,23.28
20,322,AGNI,SM,17500,17500,100.00
20,323,AGROPHOS,EQ,29609,19944,67.36
20,324,AGUL,SM,2000,2000,100.00
20,325,AHCL,EQ,3450989,1503711,43.57
20,326,AHLADA,EQ,12506,8425,67.37
20,327,AHLEAST,EQ,4452,3515,78.95
20,328,AHLUCONT,EQ,20600,12632,61.32
20,329,AIAENG,EQ,131346,75119,57.19
20,330,AIIL,EQ,404652,145617,35.99
20,331,AIMTRON,SM,16200,9600,59.26
20,332,AIRAN,EQ,36965,24931,67.44
20,333,AIROLAM,EQ,15205,12561,82.61
20,334,AISL,SM,6600,6600,100.00
20,335,AJANTPHARM,EQ,76713,27314,35.61
20,336,AJAXENGG,EQ,20274,10091,49.77
20,337,AJMERA,EQ,800054,314523,39.31
20,338,AJOONI,EQ,493405,350418,71.02
20,339,AKANKSHA,ST,35000,35000,100.00
20,340,AKASH,EQ,1975,1776,89.92
20,341,AKCAPIT,EQ,2213,2020,91.28
20,342,AKG,EQ,12992,10459,80.50
20,343,AKI,EQ,55201,50845,92.11
20,344,AKIKO,ST,6400,6400,100.00
20,345,AKSHAR,EQ,1726533,872623,50.54
20,346,AKUMS,EQ,182599,91663,50.20
