3IINFOLTD,IQ,M,2026121,20.89
3MINDIA,BL,M,2026121,40746.00
3MINDIA,EQ,M,2026121,40746.00
3MINDIA,IQ,M,2026121,40746.00
3PLAND,BL,M,2026121,39.12
3PLAND,EQ,M,2026121,39.12
3PLAND,IQ,M,2026121,39.12
500012,BL,M,2026121,52.74
500012,EQ,M,2026121,52.74
500014,BL,M,2026121,4.76
500014,EQ,M,2026121,4.76
500016,BL,M,2026121,8.76
500016,EQ,M,2026121,8.76
500028,BL,M,2026121,32.50
500028,EQ,M,2026121,32.50
500051,BL,M,2026121,10.93
500058,BL,M,2026121,15.56
500058,EQ,M,2026121,15.56
500069,BL,M,2026121,327.90
500069,EQ,M,2026121,327.90
500142,BL,M,2026121,13.94
500142,EQ,M,2026121,13.94
500143,BL,M,2026121,1171.14
500166,BL,M,2026121,222.00
500166,EQ,M,2026121,222.00
500170,BL,M,2026121,25.74
500170,EQ,M,2026121,25.74
500192,BL,M,2026121,2.17
500192,EQ,M,2026121,2.17
500202,BL,M,2026121,11.22
500202,EQ,M,2026121,11.22
500206,BL,M,2026121,85.16
500206,EQ,M,2026121,85.16
500213,BL,M,2026121,378.30
500213,EQ,M,2026121,378.30
500220,BL,M,2026121,320.40
500239,BL,M,2026121,18.32
500239,EQ,M,2026121,18.32
500240,BL,M,2026121,417.06
500240,EQ,M,2026121,417.06
500246,BL,M,2026121,99.73
500248,BL,M,2026121,6.84
500270,BL,M,2026121,155.94
500270,EQ,M,2026121,155.94
500277,BL,M,2026121,7.80
500277,EQ,M,2026121,7.80
500285,BL,M,2026121,14.68
500285,EQ,M,2026121,14.68
500298,BL,M,2026121,793.56
500298,EQ,M,2026121,793.56
500319,BL,M,2026121,87.90
500319,EQ,M,2026121,87.90
500322,BL,M,2026121,111.06
500346,BL,M,2026121,62.20
500346,EQ,M,2026121,62.20
500357,BL,M,2026121,16.96
500360,BL,M,2026121,281.46
500360,EQ,M,2026121,281.46
500370,BL,M,2026121,37.07
500370,EQ,M,2026121,37.07
500371,BL,M,2026121,69.05
500388,BL,M,2026121,121.20
500388,EQ,M,2026121,121.20
500421,BL,M,2026121,20.27
500421,EQ,M,2026121,20.27
500422,BL,M,2026121,394.32
500426,BL,M,2026121,2.08
500426,EQ,M,2026121,2.08
500449,BL,M,2026121,45.42
500450,BL,M,2026121,671.16
500458,BL,M,2026121,34.68
500458,EQ,M,2026121,34.68
500500,BL,M,2026121,20.28
501148,BL,M,2026121,445.08
501151,BL,M,2026121,10247.40
501311,BL,M,2026121,18.66
501314,BL,M,2026121,0.71
501314,EQ,M,2026121,0.71
501370,BL,M,2026121,157.20
501370,EQ,M,2026121,157.20
501391,BL,M,2026121,644.22
501391,EQ,M,2026121,644.22
501430,BL,M,2026121,1862.82
501430,EQ,M,2026121,1862.82
501477,BL,M,2026121,264.00
501477,EQ,M,2026121,264.00
501622,BL,M,2026121,110.69
501630,BL,M,2026121,30.84
501700,BL,M,2026121,8.26
501700,EQ,M,2026121,8.26
501833,BL,M,2026121,26.66
501833,EQ,M,2026121,26.66
501848,BL,M,2026121,60.02
501945,BL,M,2026121,13.13
502015,BL,M,2026121,28.76
502015,EQ,M,2026121,28.76
502250,BL,M,2026121,781.20
502281,BL,M,2026121,7.80
502281,EQ,M,2026121,7.80
502294,BL,M,2026121,48.10
502294,EQ,M,2026121,48.10
502445,BL,M,2026121,44.26
502445,EQ,M,2026121,44.26
502587,BL,M,2026121,57.12
502587,EQ,M,2026121,57.12
502589,BL,M,2026121,140.10
502589,EQ,M,2026121,140.10
502865,BL,M,2026121,361.26
502865,EQ,M,2026121,361.26
502873,BL,M,2026121,124.20
502873,EQ,M,2026121,124.20
502893,BL,M,2026121,82.80
502893,EQ,M,2026121,82.80
502901,BL,M,2026121,97.63
502901,EQ,M,2026121,97.63
502958,BL,M,2026121,8904.12
502958,EQ,M,2026121,8904.12
503092,BL,M,2026121,31.92
503092,EQ,M,2026121,31.92
503127,BL,M,2026121,6480.00
503127,EQ,M,2026121,6480.00
503229,BL,M,2026121,167.94
503229,EQ,M,2026121,167.94
503349,BL,M,2026121,6241.50
503349,EQ,M,2026121,6241.50
503624,BL,M,2026121,8.99
503624,EQ,M,2026121,8.99
503635,BL,M,2026121,269.64
503639,BL,M,2026121,109.13
503641,BL,M,2026121,1.99
503657,BL,M,2026121,14.96
503657,EQ,M,2026121,14.96
503659,BL,M,2026121,145.80
503663,BL,M,2026121,1.44
503675,BL,M,2026121,1.33
503675,EQ,M,2026121,1.33
503685,BL,M,2026121,17.82
503776,BL,M,2026121,50.64
503804,BL,M,2026121,426.00
503804,EQ,M,2026121,426.00
503816,BL,M,2026121,43.40
503816,EQ,M,2026121,43.40
503837,BL,M,2026121,18.84
504028,BL,M,2026121,136.80
504076,BL,M,2026121,71.56
504076,EQ,M,2026121,71.56
504080,BL,M,2026121,1130.22
504080,EQ,M,2026121,1130.22
504084,BL,M,2026121,1043.94
504084,EQ,M,2026121,1043.94
504092,BL,M,2026121,590.70
504092,EQ,M,2026121,590.70
504093,BL,M,2026121,327.90
504093,EQ,M,2026121,327.90
504132,BL,M,2026121,1117.32
504132,EQ,M,2026121,1117.32
504176,BL,M,2026121,663.90
504176,EQ,M,2026121,663.90
504180,BL,M,2026121,59.40
504180,EQ,M,2026121,59.40
504240,BL,M,2026121,520.92
504240,EQ,M,2026121,520.92
504258,BL,M,2026121,950.46
504258,EQ,M,2026121,950.46
504273,BL,M,2026121,17.84
504340,BL,M,2026121,10.68
504340,EQ,M,2026121,10.68
504369,BL,M,2026121,0.42
504369,EQ,M,2026121,0.42
504375,BL,M,2026121,690.78
504378,BL,M,2026121,2.94
504378,EQ,M,2026121,2.94
504380,BL,M,2026121,62.36
504380,EQ,M,2026121,62.36
504392,BL,M,2026121,50.59
504397,BL,M,2026121,113.34
504398,BL,M,2026121,132.90
504605,BL,M,2026121,6251.04
504646,BL,M,2026121,615.12
504646,EQ,M,2026121,615.12
504648,BL,M,2026121,58.26
504648,EQ,M,2026121,58.26
504731,BL,M,2026121,118.55
504731,EQ,M,2026121,118.55
504746,BL,M,2026121,967.08
504746,EQ,M,2026121,967.08
504810,BL,M,2026121,94.80
504810,EQ,M,2026121,94.80
504840,BL,M,2026121,1960.50
504840,EQ,M,2026121,1960.50
504903,BL,M,2026121,22.34
504903,EQ,M,2026121,22.34
504908,BL,M,2026121,430.86
504908,EQ,M,2026121,430.86
504959,BL,M,2026121,2047.68
504959,EQ,M,2026121,2047.68
504988,BL,M,2026121,829.80
504988,EQ,M,2026121,829.80
505036,BL,M,2026121,2731.92
505036,EQ,M,2026121,2731.92
505212,BL,M,2026121,144.00
505212,EQ,M,2026121,144.00
505216,BL,M,2026121,3438.00
505216,EQ,M,2026121,3438.00
505250,BL,M,2026121,78.01
505250,EQ,M,2026121,78.01
505299,BL,M,2026121,557.04
505299,EQ,M,2026121,557.04
