SYMBOL,SERIES,ISIN,Sec Desc,STT Indicator                                                                                                             
APCL-RE,BL,INE071F20012,ANJANI PORTLAND CEM LTD,RE                                                                                                    
NEXT50BETA,BL,INF789F1AUW9,UTIAMC-NEXT50BETA,EF                                                                                                       
MIDCAPBETA,EQ,INF789F1AYX9,UTIAMC-MIDCAPBETA,EF                                                                                                       
CYBER-RE,BL,INE278G20011,CYBER MEDIA (INDIA) LTD,RE                                                                                                   
INFRA,EQ,INF769K01QB4,MIRAEAMC - INFRA,EF                                                                                                             
ICICIFMCG,BL,INF109KC1R48,ICICIPRAMC - ICICIFMCG,EF                                                                                                   
ABIN-RE1,BE,INE00YB20025,A B INFRABUILD LTD,RE                                                                                                        
TOP15IETF,BL,INF109K1A344,ICICIPRAMC - TOP15IETF,EF                                                                                                   
CAPTRU-RE1,BE,INE707C20026,CAPITAL TRUST LTD,RE                                                                                                       
MOHEALTH,BL,INF247L01BB1,MOTILALAMC - MOHEALTH,EF                                                                                                     
TECH,EQ,INF209KB11D8,BIRLASLAMC - TECH,EF                                                                                                             
ABSL10BANK,EQ,INF209KC1670,BIRLASLAMC - ABSL10BANK,EF                                                                                                 
AVG-RE,BE,INE680Z20018,AVG LOGISTICS LIMITED,RE                                                                                                       
538683,BL,INF204KA1UN7,NIPPON INDIA ETF SENSEX,EF                                                                                                     
539031,EQ,INF200KA1572,SBI Mutual Fund,EF                                                                                                             
HDFCQUAL,BL,INF179KC1DL6,HDFCAMC - HDFCQUAL,EF                                                                                                        
HDFCVALUE,BL,INF179KC1DK8,HDFCAMC - HDFCVALUE,EF                                                                                                      
ICICIFIN,BL,INF109KC17L8,ICICIPRAMC-ICICIFIN,EF                                                                                                       
RSWM-RE,BE,INE611A20016,RSWM LIMITED,RE                                                                                                               
GROWWCHEM,EQ,INF666M01NP5,GROWWAMC - GROWWCHEM,EF                                                                                                     
EC1DG,MF,INF903JA1CJ0,SUNDARMAMC - EC1DG,EF                                                                                                           
EC1RG,MF,INF903JA1CH4,SUNDARMAMC - EC1RG,EF                                                                                                           
ESG,EQ,INF769K01GS9,MIRAEAMC - MAESGETF,EF                                                                                                            
MAKEINDIA,BL,INF769K01IB1,MIRAEAMC - MAMFGETF,EF                                                                                                      
HIGHWAY-RE,BL,INE0KXY20011,HIGHWAYS INFRA TRU RE,RE                                                                                                   
MIDCAPETF,EQ,INF769K01IC9,MIRAEAMC - MAM150ETF,EF                                                                                                     
AUTOIETF,BL,INF109KC10V2,ICICIPRAMC - ICICIAUTO,EF                                                                                                    
COMMOIETF,EQ,INF109KC19O8,ICICIPRAMC - ICICICOMMO,EF                                                                                                  
LOWVOLIETF,BL,INF109KC19U5,ICICI PR NIF LW VL 30 ETF,EF                                                                                               
MAGNUM-RE,BL,INE387I20016,MAGNUM VENTURES LIMITED,RE                                                                                                  
ADRO-RE,BL,INE737B20017,ADROIT INFOTECH LIMITED,RE                                                                                                    
SILGO-RE,BE,INE01II20013,SILGO RETAIL LIMITED,RE                                                                                                      
BHANDA-RE1,BE,INE474E20029,BHANDARI HOSIERY EXP LTD,RE                                                                                                
VINNY-RE,BE,INE01KI20019,VINNY OVERSEAS LTD,RE                                                                                                        
NARMA-RE,BE,INE117Z20011,NARMADA AGROBASE LIMITED,RE                                                                                                  
SIKKO-RE,BE,INE112X20017,SIKKO INDUSTRIES LTD,RE                                                                                                      
AVON-RE,BL,INE323B20016,AVONMORE CAPITAL,RE                                                                                                           
EVIETF,EQ,INF109K1A153,ICICIPRAMC - EVIETF,EF                                                                                                         
UGRO-RE,BL,INE583D20011,UGRO CAPITAL LTD,RE                                                                                                           
SARVES-RE,BL,INE324X20018,SARVESHWAR FOODS LIMITED,RE                                                                                                 
ICICIINFRA,EQ,INF109KC16E5,ICICIPRAMC - ICICIINFRA,EF                                                                                                 
ISIFHLSG,SF,INF109K30018,ICICIPRAMC - ISIFHLSG,EF                                                                                                     
STALL-RE,BE,INE0RYC20010,STALLION FLUOROCHEM LTD,RE                                                                                                   
SUNREST-RE,ST,INE0PLZ20012,SUNREST LIFESCIENCE LTD,RE                                                                                                 
SBIVALETF,EQ,INF200KB1AX1,SBIAMC - SBIVALETF,EF                                                                                                       
ESSEN-RE3,BE,INE418N20043,INTEGRA ESSENTIA LTD,RE                                                                                                     
ISIFAAFDG,SF,INF109K30067,ICICIPRAMC - ISIFAAFDG,EF                                                                                                   
NIFTYIETF,EQ,INF109K012R6,ICICI PRUD NIFTY ETF,EF                                                                                                     
NIFTYIETF,BL,INF109K012R6,ICICI PRUD NIFTY ETF,EF                                                                                                     
MIDCAPIETF,BL,INF109KC11W8,ICICIPRAMC - ICICIM150,EF                                                                                                  
MOM30IETF,BL,INF109KC17C7,ICICIPRAMC - ICICIMOM30,EF                                                                                                  
QUAL30IETF,EQ,INF109KC18V5,ICICIPRAMC - ICICIQTY30,EF                                                                                                 
BASML-RE1,BL,INE186H20022,BANNARI AMMAN SPINNING,RE                                                                                                   
543177,MF,INF204KB11U3,Nippon India Mutual Fund,EF                                                                                                    
543178,MF,INF204KB12U1,Nippon India Mutual Fund,EF                                                                                                    
DUCON-RE,BL,INE741L20018,DUCON INFRATECH LTD,RE                                                                                                       
PVR-RE,BE,INE191H20014,PVR LIMITED RE,RE                                                                                                              
MID150CASE,BL,INF0R8F01059,ZERODHAAMC - MID150CASE,EF                                                                                                 
GROWWEV,BL,INF666M01IH2,GROWWAMC - GROWWEV,EF                                                                                                         
SENSEXADD,BL,INF740KA1SZ6,DSPAMC - DSPSENXETF,EF                                                                                                      
PVTBANKADD,BL,INF740KA1TA7,DSPAMC - DSPPVBKETF,EF                                                                                                     
MOKSH-RE,BE,INE514Y20012,MOKSH ORNAMENTS LIMITED,RE                                                                                                   
HDFCNIFTY,EQ,INF179KC1965,HDFCAMC - HDFCNIFTY,EF                                                                                                      
HDFCSENSEX,BL,INF179KC1HX2,HDFCAMC - HDFCSENSEX,EF                                                                                                    
ESSEN-RE1,BL,INE418N20027,INTEGRA ESSENTIA LIMITED,RE                                                                                                 
HINDWAR-RE,BL,INE05AN20011,HINDWARE HME INOVATON LTD,RE                                                                                               
MOPSE,BL,INF247L01FO5,MOTILALAMC - MOPSE,EF                                                                                                           
BANKNIFTY1,EQ,INF174KA1ZB7,KOTAKMAMC-KOTAKBKETF,EF                                                                                                    
LOWVOL1,EQ,INF174KA1IY5,KOTAKMAMC - KOTAKLOVOL,EF                                                                                                     
MNC,EQ,INF174KA1JF2,KOTAKMAMC - KOTAKMNC,EF                                                                                                           
PSUBANK,BL,INF373I01023,KOTAK PSU BANK,EF                                                                                                             
RHEXHDDG,SF,INF336L30049,HSBCAMC - RHEXHDDG,EF                                                                                                        
MONIFTY500,EQ,INF247L01BU1,MOTILALAMC - MONIFTY500,EF                                                                                                 
PHLSDDP,SF,INF769K30068,MIRAEAMC - PHLSDDP,EF                                                                                                         
INVENT-RE,BL,INE878H20016,INVENTURE GRO & SEC LTD,RE                                                                                                  
M16DG,MF,INF903JA1BD5,SUNDARMAMC - M16DG,EF                                                                                                           
ICICISENSX,EQ,INF346A01034,ICICI PRUD SENSEX ETF,EF                                                                                                   
MOTOUR,EQ,INF247L01FP2,MOTILALAMC - MOTOUR,EF                                                                                                         
ATL-RE,BL,INE0NN720012,ALLCARGO TERMINALS LTD,RE                                                                                                      
SUMEET-RE,BL,INE235C20010,SUMEET INDUSTRIES LTD,RE                                                                                                    
ICICIALPLV,EQ,INF109KC1N59,ICICIPRAMC - ICICIALPLV,EF                                                                                                 
GROWWMETAL,BL,INF666M01NI0,GROWWAMC - GROWWMETAL,EF                                                                                                   
VINEET-RE,BL,INE505Y20010,VINEET LABORATORIES LTD,RE                                                                                                  
SETFNIF50,BL,INF200KA1FS1,SBI-ETF NIFTY 50,EF                                                                                                         
SETFNIF50,EQ,INF200KA1FS1,SBI-ETF NIFTY 50,EF                                                                                                         
SETFNN50,EQ,INF200KA1598,SBI-ETF NIFTY NEXT 50,EF                                                                                                     
SETFNN50,BL,INF200KA1598,SBI-ETF NIFTY NEXT 50,EF                                                                                                     
EBANK,BL,INF754K01EL1,EDELWEISS ETF-NIFTY BANK,EF                                                                                                     
VF1RD,MF,INF903J01Z98,SUNDARMAMC - VF1RD,EF                                                                                                           
IVZINNIFTY,EQ,INF205K01DA9,INVESCO INDIA NIFTY ETF,EF                                                                                                 
UTIFEFDGR2,MF,INF789FA17T4,UTIAMC - UTIFEFDGR2,EF                                                                                                     
UTIFEFRGR2,MF,INF789FA15T8,UTIAMC - UTIFEFRGR2,EF                                                                                                     
T4RG,MF,INF903J016A4,SUNDARMAMC - T4RG,EF                                                                                                             
SC2DG,MF,INF903J01X82,SUNDARMAMC - SC2DG,EF                                                                                                           
EC3DG,MF,INF903JA1DD1,SUNDARMAMC - EC3DG,EF                                                                                                           
NIFTYADD,EQ,INF740KA1CL0,DSPAMC - DSPNIFTY,EF                                                                                                         
NIFTYADD,BL,INF740KA1CL0,DSPAMC - DSPNIFTY,EF                                                                                                         
CHEMICAL,EQ,INF174KA1XV0,KOTAKMAMC - CHEMICAL,EF                                                                                                      
AJOONI-RE,BE,INE820Y20013,AJOONI BIOTECH LIMITED,RE                                                                                                   
MITTAL-RE,BL,INE997Y20019,MITTAL LIFE STYLE LIMITED,RE                                                                                                
OILIETF,BL,INF109KC18W3,ICICIPRAMC - OILIETF,EF                                                                                                       
5PAISA-RE,BL,INE618L20018,5PAISA CAPITAL LTD,RE                                                                                                       
ASTEC-RE,BL,INE563J20010,ASTEC LIFESCIENCES LTD,RE                                                                                                    
MIRC-RE,BE,INE831A20010,MIRC ELECTRONICS LTD,RE                                                                                                       
PRABHA-RE,BE,INE0I0M20015,PRABHA ENERGY LTD,RE                                                                                                        
MOMIDMTM,EQ,INF247L01FQ0,MOTILALAMC - MOMIDMTM,EF                                                                                                     
GOKUL-RE,BE,INE314T20017,GOKUL AGRO RESOURCES LTD,RE                                                                                                  
NETF,EQ,INF277K015R5,TATAAML - NETF,EF                                                                                                                
EC6RG,MF,INF903JA1ET5,SUNDARMAMC - EC6RG,EF                                                                                                           
MC2RD,MF,INF903JA1EE7,SUNDARMAMC - MC2RD,EF                                                                                                           
ICICINIFTY,EQ,INF109K012R6,ICICI PRUD NIFTY ETF,EF                                                                                                    
GROWWNIFTY,BL,INF666M01LL8,GROWWAMC - GROWWNIFTY,EF                                                                                                   
MOENERGY,EQ,INF247L01GH7,MOTILALAMC - MOENERGY,EF                                                                                                     
BANKBETA,BL,INF789F1AUV1,UTIAMC-BANKBETA,EF                                                                                                           
M15DD,MF,INF903JA1AO4,SUNDARMAMC - M15DD,EF                                                                                                           
MIDCAPADD,BL,INF740KA1WW5,DSPAMC - MIDCAPADD,EF                                                                                                       
SMALLADD,EQ,INF740KA1WX3,DSPAMC - SMALLADD,EF                                                                                                         
INDO-RE2,BE,INE227G20034,INDOWIND ENERGY LTD,RE                                                                                                       
ARVINDF-RE,BE,INE955V20013,ARVIND FASHIONS RE,RE                                                                                                      
ICICIPHARM,BL,INF109KC1Q72,ICICIPRAMC - ICICIPHARM,EF                                                                                                 
GUJNRECOKE,W1,INE110D13018,GUJ NRE COKE WARRANTS,RE                                                                                                   
AVANTEL-RE,BL,INE005B20019,AVANTEL LIMITED,RE                                                                                                         
HATSUN-RE,BL,INE473B20019,HATSUN AGRO PROD LTD-RE,RE                                                                                                  
QUAL30IETF,BL,INF109KC18V5,ICICIPRAMC - ICICIQTY30,EF                                                                                                 
SBIBPB,EQ,INF200KB1712,SBIAMC - SBIBPB,EF                                                                                                             
ABIN-RE,ST,INE00YB20017,A B INFRABUILD LIMITED,RE                                                                                                     
BHANDA-RE,BL,INE474E20011,BHANDARI HOSIERY EXP LTD,RE                                                                                                 
TIL-RE,BE,INE806C20018,TIL LTD,RE                                                                                                                     
MOMNC,BL,INF247L01GK1,MOTILALAMC - MOMNC,EF                                                                                                           
AONENIFTY,BL,INF1J2R01064,AONEAMC - AONENIFTY,EF                                                                                                      
GODHA-RE,BL,INE925Y20010,GODHA CABCON INSULAT LTD,RE                                                                                                  
GATECH-RE,BE,INE224E20010,GACM TECHNOLOGIES LIMITED,RE                                                                                                
HEALTHY,BL,INF209KB10C2,BIRLASLAMC - HEALTHY,EF                                                                                                       
THANG-RE,BE,INE085J20014,THANGAMAYIL JEWELLERY LTD,RE                                                                                                 
KILITC-RE,BE,INE729D20010,KILITCH DRUGS (INDIA) LTD,RE                                                                                                
IRIS-RE,BE,INE01GN20017,IRIS CLOTHINGS LIMITED,RE                                                                                                     
MASPTOP50,BL,INF769K01HP3,MIRAEAMC - MASPTOP50,EF                                                                                                     
SDBL-RE1,BE,INE480C20020,SOM DIST & BREW LTD,RE                                                                                                       
CALSOFT-RE,BL,INE526B20014,CALIFORNIA SOFT LTD,RE                                                                                                     
RIL-RE,BL,INE002A20018,RELIANCE INDUSTRIES RE,RE                                                                                                      
ABFRL-RE,BE,INE647O20011,ADITYA BIRLA FASHION RE,RE                                                                                                   
TOP15IETF,EQ,INF109K1A344,ICICIPRAMC - TOP15IETF,EF                                                                                                   
NIFTYCASE,EQ,INF0R8F01166,ZERODHAAMC - NIFTYCASE,EF                                                                                                   
GROWWHOSPI,BL,INF666M01OD9,GROWWAMC - GROWWHOSPI,EF                                                                                                   
SBIETFCON,BL,INF200KA1X17,SBIAMC - SBIETFCON,EF                                                                                                       
SMALL250,BL,INF769K01PQ4,MIRAEAMC - SMALL250,EF                                                                                                       
MOHEALTH,EQ,INF247L01BB1,MOTILALAMC - MOHEALTH,EF                                                                                                     
LIBAS-RE,BL,INE908V20012,LIBAS CON PRODUCT LTD,RE                                                                                                     
DIL-RE,BL,INE411Y20011,DEBOCK INDUSTRIES LIMITED,RE                                                                                                   
DHAN-RE,BE,INE680A20011,DHANLAXMI BANK LTD,RE                                                                                                         
VALIANT-RE,BL,INE0JWS20017,VALIANT LABORATORIES LTD,RE                                                                                                
MASPTOP50,EQ,INF769K01HP3,MIRAEAMC - MASPTOP50,EF                                                                                                     
HDFCMOMENT,EQ,INF179KC1HV6,HDFCAMC - HDFCMOMENT,EF                                                                                                    
ITBEES,EQ,INF204KB15V2,NIP IND ETF IT,EF                                                                                                              
CONSUMBEES,EQ,INF204KA1LD7,NIP IND ETF CONSUMPTION,EF                                                                                                 
ICICIMOM30,BL,INF109KC17C7,ICICIPRAMC - ICICIMOM30,EF                                                                                                 
MOVALUE,EQ,INF247L01BE5,MOTILALAMC - MOVALUE,EF                                                                                                       
535276,EQ,INF200K01VT2,SBI MUTUAL FUND - SBI ETF SENS,EF                                                                                              
MAMFGETF,EQ,INF769K01IB1,MIRAEAMC - MAMFGETF,EF                                                                                                       
DYNPRO-RE,BL,INE256H20015,DYNEMIC PRODUCTS LIMITED,RE                                                                                                 
HDFCGROWTH,BL,INF179KC1DJ0,HDFCAMC - HDFCGROWTH,EF                                                                                                    
SUZLON-RE,BL,INE040H20013,SUZLON ENERGY LTD,RE                                                                                                        
ICICIFIN,EQ,INF109KC17L8,ICICIPRAMC-ICICIFIN,EF                                                                                                       
JETFRE-RE,BL,INE982V20017,JET FREIGHT LOGISTICS LTD,RE                                                                                                
PERF-RE,ST,INE925S20012,PERFECT INFRAENGINEER LTD,RE                                                                                                  
ESG,BL,INF769K01GS9,MIRAEAMC - MAESGETF,EF                                                                                                            
HIGHWAY-RE,ID,INE0KXY20011,HIGHWAYS INFRA TRU RE,RE                                                                                                   
FMCGIETF,BL,INF109KC19V3,ICICIPRAMC - ICICIFMCG,EF                                                                                                    
AUTOIETF,EQ,INF109KC10V2,ICICIPRAMC - ICICIAUTO,EF                                                                                                    
IBUL-RE,EQ,INE148I20012,INDIABULLS HSG FIN LTD,RE                                                                                                     
SMALLCAP,BL,INF769K01LC3,MIRAEAMC - SMALLCAP,EF                                                                                                       
HCC-RE,BE,INE549A20018,HINDUSTAN CONSTRUCTION CO,RE                                                                                                   
AJOONI-RE1,BL,INE820Y20021,AJOONI BIOTECH LIMITED,RE                                                                                                  
MITCON-RE,BL,INE828O20017,MITCON CON,RE                                                                                                               
TATACON-RE,BE,INE192A20017,TATA CONSUMER PRODUCT LTD,RE                                                                                               
GREEN-RE1,BL,INE999K20022,ORIENT GREEN POWER CO LTD,RE                                                                                                
ATAL-RE,BE,INE0ALR20011,ATAL REALTECH LIMITED,RE                                                                                                      
MITTAL-RE1,BL,INE997Y20027,MITTAL LIFE STYLE LTD,RE                                                                                                   
IRBIT-RE2,ID,INE0C8K20067,IRB INF TRU RE,RE                                                                                                           
THANG-RE,BL,INE085J20014,THANGAMAYIL JEWELLERY LTD,RE                                                                                                 
ABIN-RE1,BL,INE00YB20025,A B INFRABUILD LTD,RE                                                                                                        
BTML-RE1,BL,INE0EEJ20023,BODHI TREE MULTIMEDIA LTD,RE                                                                                                 
MOINFRA,EQ,INF247L01FL1,MOTILALAMC - MOINFRA,EF                                                                                                       
DAVAN-RE1,BE,INE179G20029,DAVANGERE SUGAR COMPANY,RE                                                                                                  
ITETF,EQ,INF769K01KV5,MIRAEAMC - ITETF,EF                                                                                                             
VINEET-RE,BE,INE505Y20010,VINEET LABORATORIES LTD,RE                                                                                                  
DEFENCE,BL,INF769K01QC2,MIRAEAMC - DEFENCE,EF                                                                                                         
PRABHA-RE,BL,INE0I0M20015,PRABHA ENERGY LTD,RE                                                                                                        
SBIVALETF,BL,INF200KB1AX1,SBIAMC - SBIVALETF,EF                                                                                                       
RELTD-RE,BE,INE206N20018,RAVINDRA ENERGY LTD,RE                                                                                                       
PHLSRG,SF,INF769K30019,MIRAEAMC - PHLSRG,EF                                                                                                           
FMCGADD,EQ,INF740KA1ZA4,DSPAMC - FMCGADD,EF                                                                                                           
SHARE-RE,BE,INE932X20018,SHARE IND SEC LTD,RE                                                                                                         
NEXT50IETF,BL,INF109KC1NS5,ICICIPRAMC - ICICINXT50,EF                                                                                                 
NIF100IETF,EQ,INF109KC16V9,ICICI PRUD NIFTY 100 ETF,EF                                                                                                
MIDSELIETF,EQ,INF109KC10W0,ICICI PRUD MIDCAP SEL ETF,EF                                                                                               
543174,MF,INF204KB10U5,Nippon India Mutual Fund,EF                                                                                                    
543184,MF,INF204KB14T9,Nippon India Mutual Fund,EF                                                                                                    
ABSLPSE,EQ,INF209KB19Z4,BIRLASLAMC-ABSLPSE,EF                                                                                                         
ABSLPSE,BL,INF209KB19Z4,BIRLASLAMC-ABSLPSE,EF                                                                                                         
INDO-RE1,BE,INE227G20026,INDOWIND ENERGY LIMITED,RE                                                                                                   
INDO-RE1,BL,INE227G20026,INDOWIND ENERGY LIMITED,RE                                                                                                   
HCC-RE1,BL,INE549A20026,HINDUSTAN CONSTRUCTION CO,RE                                                                                                  
PRAXIS-RE2,BE,INE546Y20030,PRAXIS HOME RETAIL,RE                                                                                                      
UPL-RE,BE,INE628A20010,UPL LIMITED,RE                                                                                                                 
HDFCNIFBAN,EQ,INF179KC1HY0,HDFCAMC - HDFCNIFBAN,EF                                                                                                    
ICICINXT50,BL,INF109KC1NS5,ICICIPRAMC - ICICINXT50,EF                                                                                                 
CLOUD-RE,ST,INE0JOO20013,VARANIUM CLOUD LIMITED,RE                                                                                                    
METALIETF,BL,INF109KC19W1,ICICIPRAMC - METALIETF,EF                                                                                                   
FLEXIADD,BL,INF740KA1WU9,DSPAMC - FLEXIADD,EF                                                                                                         
GROWWPSUBK,EQ,INF666M01OG2,GROWWAMC - GROWWPSUBK,EF                                                                                                   
SBINMID150,BL,INF200KB1AK8,SBIAMC - SBINMID150,EF                                                                                                     
MIDSMALL,EQ,INF769K01LJ8,MIRAEAMC - MIDSMALL,EF                                                                                                       
VALUE,BL,INF769K01QV2,MIRAEAMC - VALUE,EF                                                                                                             
VINNY-RE,BL,INE01KI20019,VINNY OVERSEAS LTD,RE                                                                                                        
EMULTIMQ,EQ,INF754K01TF1,EDELAMC - EMULTIMQ,EF                                                                                                        
GATECH-RE1,BL,INE224E20036,GACM TECHNO LTD,RE                                                                                                         
BASML-RE1,BE,INE186H20022,BANNARI AMMAN SPINNING,RE                                                                                                   
IT,EQ,INF174KA1GC5,KOTAKMAMC - KOTAKIT,EF                                                                                                             
MIDCAP,EQ,INF174KA1ZC5,KOTAKMAMC - KOTAKMID50,EF                                                                                                      
MONEXT50,EQ,INF247L01FD8,MOTILALAMC - MONEXT50,EF                                                                                                     
MONEXT50,BL,INF247L01FD8,MOTILALAMC - MONEXT50,EF                                                                                                     
VAL30IETF,EQ,INF109KC16X5,ICICIPRAMC - VAL30IETF,EF                                                                                                   
M16DD,MF,INF903JA1BE3,SUNDARMAMC - M16DD,EF                                                                                                           
ICICIMCAP,EQ,INF109KB1XT3,ICICI PRUD MIDCAP SEL ETF,EF                                                                                                
ICICIMCAP,BL,INF109KB1XT3,ICICI PRUD MIDCAP SEL ETF,EF                                                                                                
ICICINV20,BL,INF109KB1WY5,ICICI PRUDENTIAL NV20 ETF,EF                                                                                                
PVTBKGROWW,BL,INF666M01OT5,GROWWAMC - PVTBKGROWW,EF                                                                                                   
ATL-RE,BE,INE0NN720012,ALLCARGO TERMINALS LTD,RE                                                                                                      
OLIL-RE,ST,INE0OPS20011,ONECLICK LOGISTICS LTD,RE                                                                                                     
QSIFAADP,SE,INF966L30258,QUANT AMC - QSIFAADP,EF                                                                                                      
SHAH-RE1,BE,INE482J20021,SHAH METACORP LTD,RE                                                                                                         
ICICIALPLV,BL,INF109KC1N59,ICICIPRAMC - ICICIALPLV,EF                                                                                                 
SARVES-RE,BE,INE324X20018,SARVESHWAR FOODS LIMITED,RE                                                                                                 
ABSLNN50ET,BL,INF209KB16D7,BIRLASLAMC - ABSLNN50ET,EF                                                                                                 
SMCSRIIDD,MF,INF903J01ZB2,SUNDARMAMC - SMCSRIIDD,EF                                                                                                   
LICNETFSEN,BL,INF767K01OT5,LICNAMC - LICNFESGP,EF                                                                                                     
T4DG,MF,INF903J018A0,SUNDARMAMC - T4DG,EF                                                                                                             
SC2DD,MF,INF903J01X90,SUNDARMAMC - SC2DD,EF                                                                                                           
SHARIABEES,EQ,INF732E01128,NIP IND ETF SHARIAH BEES,EF                                                                                                
BSLNIFTY,EQ,INF209KB19D1,ADITYBIRLA SL NIF ETF-GR,EF                                                                                                  
T5DG,MF,INF903J010D1,SUNDARMAMC - T5DG,EF                                                                                                             
AXISVALUE,BL,INF846KA1119,AXISAMC - AXISVALUE,EF                                                                                                      
MOALPHA50,EQ,INF247L01FR8,MOTILALAMC - MOALPHA50,EF                                                                                                   
HDFCNIF100,BL,INF179KC1HR4,HDFCAMC - HDFCNIF100,EF                                                                                                    
MOMNC,EQ,INF247L01GK1,MOTILALAMC - MOMNC,EF                                                                                                           
ASTEC-RE,BE,INE563J20010,ASTEC LIFESCIENCES LTD,RE                                                                                                    
GROWWNET,BL,INF666M01LI4,GROWWAMC - GROWWNET,EF                                                                                                       
MULTICAP,EQ,INF769K01LX9,MIRAEAMC - MULTICAP,EF                                                                                                       
MGEL-RE,BE,INE0APB20016,MANGALAM GLOBAL ENT LTD,RE                                                                                                    
MOLOWVOL,EQ,INF247L01BL0,MOTILALAMC - MOLOWVOL,EF                                                                                                     
SPAND-RE,BL,INE572J20011,SPANDANA SPHOORTY FIN,RE                                                                                                     
SBIETFIT,BL,INF200KA1S14,SBIAMC - SBIETFIT,EF                                                                                                         
MC2DD,MF,INF903JA1EG2,SUNDARMAMC - MC2DD,EF                                                                                                           
MC2DG,MF,INF903JA1EF4,SUNDARMAMC - MC2DG,EF                                                                                                           
NGIL-RE,BL,INE236Y20012,NAKODA GRP OF IND LTD,RE                                                                                                      
TOP20,BL,INF769K01PZ5,MIRAEAMC - TOP20,EF                                                                                                             
MOENERGY,BL,INF247L01GH7,MOTILALAMC - MOENERGY,EF                                                                                                     
BANKBETA,EQ,INF789F1AUV1,UTIAMC-BANKBETA,EF                                                                                                           
M15DG,MF,INF903JA1AN6,SUNDARMAMC - M15DG,EF                                                                                                           
INDO-RE2,BL,INE227G20034,INDOWIND ENERGY LTD,RE                                                                                                       
NEXT50ETF,EQ,INF174KA1YO3,KOTAKMAMC - NEXT50ETF,EF                                                                                                    
NDTV-RE,BL,INE155G20011,NEW DELHI TELEVISION LTD,RE                                                                                                   
IBMFNIFTY,EQ,INF666M01FS5,IBULLSAMC - IBMFNIFTY,EF                                                                                                    
PSUBANK,EQ,INF373I01023,KOTAK PSU BANK,EF                                                                                                             
MOBANK10,BL,INF247L01GV8,MOTILALAMC - MOBANK10,EF                                                                                                     
MOMGF,BL,INF247L01FK3,MOTILALAMC - MOMGF,EF                                                                                                           
ABSL10BANK,BL,INF209KC1670,BIRLASLAMC - ABSL10BANK,EF                                                                                                 
HDFCSML250,BL,INF179KC1FB2,HDFCAMC - HDFCSML250,EF                                                                                                    
EC5DG,MF,INF903JA1EN8,SUNDARMAMC - EC5DG,EF                                                                                                           
EC5RD,MF,INF903JA1EM0,SUNDARMAMC - EC5RD,EF                                                                                                           
SBIBPB,BL,INF200KB1712,SBIAMC - SBIBPB,EF                                                                                                             
SENSEXBETA,BL,INF789FB1X58,UTIAMC-SENSEXBETA,EF                                                                                                       
MHLSRDR,SF,INF200K30031,SBIAMC - MHLSRDR,EF                                                                                                           
ICICITECH,BL,INF109KC16I6,ICICIPRAMC - ICICITECH,EF                                                                                                   
NECLTD-RE,BE,INE553C20016,NORTH EAST CARRY CORP LTD,RE                                                                                                
ICICIFMCG,EQ,INF109KC1R48,ICICIPRAMC - ICICIFMCG,EF                                                                                                   
ABFRL-RE,BL,INE647O20011,ADITYA BIRLA FASHION RE,RE                                                                                                   
MAHLIFE-RE,BL,INE813A20018,MAHINDRA LIFESPACE RE,RE                                                                                                   
NGIL-RE2,BL,INE236Y20038,NAKODA GROUP OF IND LTD,RE                                                                                                   
AXISCETF,BL,INF846K016C7,AXISAMC - AXISCETF,EF                                                                                                        
BANKADD,EQ,INF740KA1RX3,DSPAMC - DSPBANK,EF                                                                                                           
NEXT50,EQ,INF769K01FN2,MIRAEAMC - MANXT50,EF                                                                                                          
QSIFAADG,SE,INF966L30241,QUANT AMC - QSIFAADG,EF                                                                                                      
DYNPRO-RE,BE,INE256H20015,DYNEMIC PRODUCTS LIMITED,RE                                                                                                 
HDFCPVTBAN,BL,INF179KC1HZ7,HDFCAMC - HDFCPVTBAN,EF                                                                                                    
BTML-RE,ST,INE0EEJ20015,BODHI TREE MULTIMEDIA LTD,RE                                                                                                  
KHFM-RE,ST,INE00UG20014,KHFM HOS FAC MANA SER LTD,RE                                                                                                  
SEPC-RE,BE,INE964H20014,SEPC LIMITED,RE                                                                                                               
BANKETF,BL,INF769K01KR3,MIRAEAMC - BANKETF,EF                                                                                                         
ICICIQTY30,EQ,INF109KC15T5,ICICIPRAMC - ICICIQTY30,EF                                                                                                 
NIFTYETF,EQ,INF769K01EG9,MIRAEAMC - MAN50ETF,EF                                                                                                       
HEALTHIETF,BL,INF109KC1Q72,ICICIPRAMC - ICICIPHARM,EF                                                                                                 
ITIETF,EQ,INF109KC16I6,ICICIPRAMC - ICICITECH,EF                                                                                                      
FINIETF,BL,INF109KC17L8,ICICIPRAMC-ICICIFIN,EF                                                                                                        
MAGNUM-RE,EQ,INE387I20016,MAGNUM VENTURES LIMITED,RE                                                                                                  
SILGO-RE,BL,INE01II20013,SILGO RETAIL LIMITED,RE                                                                                                      
BHANDA-RE1,BL,INE474E20029,BHANDARI HOSIERY EXP LTD,RE                                                                                                
GSTL-RE,ST,INE00WS20015,GLOBESECURE TECHNO LTD,RE                                                                                                     
TATACON-RE,BL,INE192A20017,TATA CONSUMER PRODUCT LTD,RE                                                                                               
GROWEV,EQ,INF666M01IH2,GROWWAMC - GROWWEV,EF                                                                                                          
