SYMBOL,SERIES,ISIN,Sec Desc,STT Indicator                                                                                                             
SBIETFCON,EQ,INF200KA1X17,SBIAMC - SBIETFCON,EF                                                                                                       
GISO-RE,BL,INE065J20016,GI ENGINEERING SOLUTIONS,RE                                                                                                   
SENSEXETF,EQ,INF769K01KT9,MIRAEAMC - SENSEXETF,EF                                                                                                     
VAL30IETF,BL,INF109KC16X5,ICICIPRAMC - VAL30IETF,EF                                                                                                   
SARTE-RE,ST,INE0PUC20012,SAR TELEVENTURE LIMITED,RE                                                                                                   
DOLLEX-RE,ST,INE0JHH20011,DOLLEX AGROTECH LTD,RE                                                                                                      
NEXT30ADD,EQ,INF740KA1VE5,DSPAMC - NEXT30ADD,EF                                                                                                       
ELECTCAST,W1,INE086A13016,ELECTCAST WARRANTS,RE                                                                                                       
SRTRANS-RE,BL,INE721A20013,SHRIRAM TRANSPORT RE,RE                                                                                                    
TOP100CASE,BL,INF0R8F01067,ZERODHAAMC - TOP100CASE,EF                                                                                                 
METAL,BL,INF769K01LY7,MIRAEAMC - METAL,EF                                                                                                             
SHRADHA-RE,BE,INE715Y20015,SHRADHA INFRAPROJECTS LTD,RE                                                                                               
GROWWMETAL,EQ,INF666M01NI0,GROWWAMC - GROWWMETAL,EF                                                                                                   
BANKBETF,BL,INF0QA701714,BFAM - BANKBETF,EF                                                                                                           
AURUM-RE,BE,INE898S20011,AURUM PROPTECH LIMITED,RE                                                                                                    
SPENCER-RE,BL,INE020820010,SPENCERS RETAIL RE,RE                                                                                                      
SM545,MF,INF903J01M69,SUNDARMAMC - SM545,EF                                                                                                           
SM548,MF,INF903J01M93,SUNDARMAMC - SM548,EF                                                                                                           
SMCSRIIDG,MF,INF903J01ZA4,SUNDARMAMC - SMCSRIIDG,EF                                                                                                   
VF1DG,MF,INF903J010A7,SUNDARMAMC - VF1DG,EF                                                                                                           
CPSEETF,BL,INF457M01133,CPSE ETF,EF                                                                                                                   
JUNIORBEES,EQ,INF732E01045,NIP IND ETF JUNIOR BEES,EF                                                                                                 
EC1DD,MF,INF903JA1CK8,SUNDARMAMC - EC1DD,EF                                                                                                           
MOSERVICE,EQ,INF247L01GJ3,MOTILALAMC - MOSERVICE,EF                                                                                                   
MOSERVICE,BL,INF247L01GJ3,MOTILALAMC - MOSERVICE,EF                                                                                                   
AONETMMQ50,BL,INF1J2R01148,AONEAMC - AONETMMQ50,EF                                                                                                    
BANKPSU,BL,INF769K01LZ4,MIRAEAMC - BANKPSU,EF                                                                                                         
IBMFNIFTY,BL,INF666M01FS5,IBULLSAMC - IBMFNIFTY,EF                                                                                                    
5PAISA-RE,BE,INE618L20018,5PAISA CAPITAL LTD,RE                                                                                                       
HDFCNEXT50,EQ,INF179KC1HS2,HDFCAMC - HDFCNEXT50,EF                                                                                                    
ICICIBANKP,EQ,INF109KC1E35,ICICIPRAMC - ICICIBANKP,EF                                                                                                 
SUVEN-RE,BL,INE495B20012,SUVEN LIFE SCIENCES LTD,RE                                                                                                   
VHLTD-RE,BE,INE048C20017,VICEROY HOTELS LTD,RE                                                                                                        
BHANDA-RE2,BL,INE474E20037,BHANDARI HOSIERY EXP LTD,RE                                                                                                
SBIMIDMOM,BL,INF200KB1AJ0,SBIAMC - SBIMIDMOM,EF                                                                                                       
EC7DG,MF,INF903JA1FH7,SUNDARMAMC - EC7DG,EF                                                                                                           
EC7RD,MF,INF903JA1FG9,SUNDARMAMC - EC7RD,EF                                                                                                           
MOMIDMTM,BL,INF247L01FQ0,MOTILALAMC - MOMIDMTM,EF                                                                                                     
GROWWPSE,BL,INF666M01NQ3,GROWWAMC - GROWWPSE,EF                                                                                                       
