"Security Name","Symbol Name","Trade Date","Quantity"
"TRENT LIMITED","TRENT","02-Jul-2026","17"
"HINDUSTAN UNILEVER LTD.","HINDUNILVR","02-Jul-2026","55"
"HOUSING & URBAN DEVELOPMENT CORPORATION LIMITED","HUDCO","02-Jul-2026","51"
"ITC LTD","ITC","02-Jul-2026","20"
"UNITED FOODBRANDS LIMITED","UFBL","02-Jul-2026","5502"
"AMBUJA CEMENTS LTD","AMBUJACEM","02-Jul-2026","100"
"NARAYANA HRUDAYALAYA LTD.","NH","02-Jul-2026","22"
"PARAG MILK FOODS LTD.   ","PARAGMILK","02-Jul-2026","2"
"INFO EDGE (I) LTD","NAUKRI","02-Jul-2026","5"
"HCL TECHNOLOGIES LTD","HCLTECH","02-Jul-2026","25"
"RHI MAGNESITA INDIA LTD","RHIM","02-Jul-2026","250"
"DIVI'S LABORATORIES LTD","DIVISLAB","02-Jul-2026","2"
"DIXON TECHNO (INDIA) LTD","DIXON","02-Jul-2026","18"
"ALKEM LABORATORIES LTD.","ALKEM","02-Jul-2026","5"
"SAGILITY INDIA LIMITED","SAGILITY","02-Jul-2026","50"
"DEEPAK FERTILIZERS AND PETROCHEMICALS CORPORATION LIMITED","DEEPAKFERT","02-Jul-2026","561"
"REFEX INDUSTRIES LIMITED","REFEX","02-Jul-2026","4500"
"SONATA SOFTWARE LIMITED","SONATSOFTW","02-Jul-2026","5"
"FINEOTEX CHEMICAL LIMITED","FCL","02-Jul-2026","1"
"LENSKART SOLUTIONS LTD","LENSKART","02-Jul-2026","30"
"HINDUSTAN AERONAUTICS LTD","HAL","02-Jul-2026","5"
"ASHOK LEYLAND LTD","ASHOKLEY","02-Jul-2026","40"
"NHPC LTD","NHPC","02-Jul-2026","120"
"TVS MOTOR COMPANY  LTD","TVSMOTOR","02-Jul-2026","11"
"VOLTAS LTD","VOLTAS","02-Jul-2026","43"
"SCHNEIDER ELECTRIC INFRA","SCHNEIDER","02-Jul-2026","7"
"TATA STEEL LIMITED","TATASTEEL","02-Jul-2026","100"
"BLACK BOX LIMITED","BBOX","02-Jul-2026","4"
"HDFC BANK LTD","HDFCBANK","02-Jul-2026","2"
"INOX GREEN ENERGY SER LTD","INOXGREEN","02-Jul-2026","1"
"COCHIN SHIPYARD LIMITED","COCHINSHIP","02-Jul-2026","100"
"ZF COM VE CTR SYS IND LTD","ZFCVINDIA","02-Jul-2026","10"
"AVENUE SUPERMARTS LIMITED","DMART","02-Jul-2026","8700"
"WIPRO LTD","WIPRO","02-Jul-2026","203597"
"SONA BLW PRECISION FRGS L","SONACOMS","02-Jul-2026","750"
"SWIGGY LIMITED","SWIGGY","02-Jul-2026","851"
"VERANDA LEARNING SOL LTD","VERANDA","02-Jul-2026","1"
"PERSISTENT SYSTEMS LTD","PERSISTENT","02-Jul-2026","21"
"FORCE MOTORS LIMITED","FORCEMOT","02-Jul-2026","5"
"SKY GOLD AND DIAMONDS LTD","SKYGOLD","02-Jul-2026","407"
"SANGHVI MOVERS LTD","SANGHVIMOV","02-Jul-2026","250"
"RELIANCE INDUSTRIES LTD","RELIANCE","02-Jul-2026","1"
"SUZLON ENERGY LIMITED","SUZLON","02-Jul-2026","400"
"CG POWER AND INDUSTRIAL SOLUTIONS LIMITED","CGPOWER","02-Jul-2026","10"
"INDIAN RENEWABLE ENERGY","IREDA","02-Jul-2026","50"
"JK TYRE & INDUSTRIES LTD","JKTYRE","02-Jul-2026","1"
"SUVEN LIFE SCIENCES LTD  ","SUVEN","02-Jul-2026","3"
"BALKRISHNA IND. LTD      ","BALKRISIND","02-Jul-2026","1"
"GE POWER INDIA LIMITED","GVPIL","02-Jul-2026","309"
"BANK OF BARODA","BANKBARODA","02-Jul-2026","20"
"INFOSYS TECHNOLOGIES LTD","INFY","02-Jul-2026","860"
"TATA ELXSI LIMITED       ","TATAELXSI","02-Jul-2026","1375"
"POLY MEDICURE LTD ","POLYMED","02-Jul-2026","164"
"AADHAR HOUSING FINANCE L","AADHARHFC","02-Jul-2026","50"
"HIMACHAL FUTURISTIC COMMUNICATIONS LIMITED","HFCL","02-Jul-2026","1"
"ONESOURCE SPECL PHARMA L","ONESOURCE","02-Jul-2026","2"
"IIFL HOLDINGS LIMITED","IIFL","02-Jul-2026","100"
"FSN E COMMERCE VENTURES","NYKAA","02-Jul-2026","109"
"FUSION MICRO FINANCE LTD","FUSION","02-Jul-2026","100"
"ADF FOODS LIMITED","ADFFOODS","02-Jul-2026","19"
"THANGAMAYIL JEWELLERY LTD","THANGAMAYL","02-Jul-2026","25"
"EMMVEE PHOTOVOLTAIC PWR L","EMMVEE","02-Jul-2026","500"
"JINDAL STEEL & POWER LTD","JINDALSTEL","02-Jul-2026","1"
