MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,ST,POSITRON,POSITRON ENERGY LIMITED,       177.95,       174.05,       180.35,       172.00,       176.70,                  1046490.00,6000, ,       395.00,       105.90
N,SM,PRAMARA,PRAMARA PROMOTIONS LTD,       135.00,       133.00,       134.75,       131.00,       133.15,                  1994925.00,15000, ,       374.80,       117.65
N,SM,PRANIK,PRANIK LOGISTICS LIMITED,        47.50,        47.50,        47.50,        47.50,        47.50,                    76000.00,1600, ,        91.00,        37.00
N,SM,PRATHAM,PRATHAM EPC PROJECTS LTD,       116.95,       118.00,       122.60,       116.50,       122.40,                   858640.00,7200, ,       196.00,       100.00
N,SM,PRECISION,PRECISION METALIKS LTD,         6.80,         6.50,         7.05,         6.50,         6.80,                    80500.00,12000, ,        28.40,         6.45
N,SM,PRLIND,PREMIER ROADLINES LIMITED,        47.75,        47.75,        49.00,        47.75,        48.80,                  1357950.00,28000, ,       102.85,        44.25
N,SM,PRESSTONIC,PRESSTONIC ENGINEERING L,        28.65,        29.60,        29.60,        26.55,        27.25,                  3162440.00,112800, ,       101.70,        26.55
N,ST,PRIMECAB,PRIME CABLE INDUSTRIES L,       121.50,       121.50,       121.50,       117.20,       117.20,                  2088320.00,17600, ,       136.70,        70.40
N,SM,PRITIKA,PRITIKA ENG COMPO LTD,        62.45,        60.55,        61.90,        60.00,        61.85,                   853200.00,14000, ,        95.25,        44.05
G,ST,PRIZOR,PRIZOR VIZTECH LIMITED,       853.25,       836.20,       836.20,       836.20,       836.20,                  3344800.00,4000, ,       939.20,       199.00
N,SM,PROV,PROVENTUS AGROCOM LIMITED,      1542.00,      1595.00,      1595.00,      1550.00,      1575.00,                   505200.00,320, ,      1679.95,       815.10
N,SM,PULZ,PULZ ELECTRONICS LIMITED,        23.80,        23.05,        24.80,        23.05,        24.80,                   293600.00,12000, ,        47.10,        21.95
N,ST,PURPLEUTED,PURPLE UNITED SALES LTD,       465.20,       485.95,       488.45,       470.00,       481.00,                 12243075.00,25500, ,       587.95,       244.45
N,SM,PUSHPA,PUSHPA JEWELLERS LIMITED,        97.50,        98.00,       101.00,        98.00,       100.00,                  2298750.00,23000, ,       148.75,        81.15
N,SM,QLINE,Q-LINE BIOTECH LIMITED,       540.15,       542.05,       575.00,       531.00,       566.80,                126960640.00,229200, ,       600.00,       431.00
N,SM,QUESTLAB,QUEST LABORATORIES LTD,        96.15,        92.30,        95.00,        92.30,        93.75,                  3488760.00,37200, ,       152.60,        82.00
N,SM,QUICKTOUCH,QUICKTOUCH TECHNOLOGIES L,        24.05,        24.05,        24.90,        23.00,        23.95,                   238550.00,10000, ,        69.55,        23.00
N,SM,QVCEL,QVC EXPORTS LIMITED,        22.70,        23.75,        23.80,        23.75,        23.80,                   114160.00,4800, ,        35.30,        21.80
N,SM,RILINFRA,RACHANA INFRA LTD,        38.45,        38.45,        40.80,        38.45,        40.20,                  1226235.00,30700, ,        47.50,        27.60
N,ST,RADIOWALLA,RADIOWALLA NETWORK LTD,        24.50,        24.00,        24.00,        23.35,        24.00,                   151600.00,6400, ,        72.50,        22.20
N,SM,RCDL,RAJGOR CASTOR DERIVATI L,        26.95,        26.20,        26.20,        26.20,        26.20,                   157200.00,6000, ,        30.85,        16.50
N,SM,RAJPUTANA,RAJPUTANA BIODIESEL LTD,       202.55,       203.00,       203.00,       203.00,       203.00,                   203000.00,1000, ,       299.00,       195.00
N,SM,RAJINDLTD,RAJPUTANA INDUSTRIES LTD,        68.85,        68.85,        70.55,        68.85,        70.55,                   524250.00,7500, ,       101.90,        60.00
N,SM,RTL,RAMA TELECOM LIMITED,        78.30,        76.30,        77.80,        70.40,        76.00,                 10802300.00,146000, ,       100.90,        54.00
N,ST,RBS,RAMDEVBABA SOLVENT LTD,        80.40,        80.00,        80.50,        79.00,        80.00,                   574800.00,7200, ,       143.00,        58.80
N,SM,RAPPID,RAPPID VALVES (INDIA) LTD,       263.90,       257.00,       260.00,       253.00,       260.00,                  1386150.00,5400, ,       384.90,       207.00
N,SM,RBMINFRA,RBM INFRACON LIMITED,       279.40,       281.90,       284.90,       269.00,       270.35,                  4668110.00,17000, ,       524.80,       265.00
N,SM,READYMIX,READYMIX CONSTRU MACHI L,        95.55,        95.55,        96.40,        93.60,        95.00,                   856700.00,9000, ,       175.00,        68.80
N,SM,REFRACTORY,REFRACTORY SHAPES LIMITED,        30.50,        30.15,        30.30,        29.45,        30.30,                   209850.00,7000, ,        68.90,        28.65
N,SM,REMUS,REMUS PHARMACEUTICALS L,       744.30,       761.00,       761.00,       742.00,       746.05,                  1577095.00,2100, ,      2010.00,       580.00
N,SM,RNPL,RENOL POLYCHEM LIMITED,        80.00,        83.50,        84.00,        83.50,        84.00,                   905580.00,10800, ,       158.00,        69.00
N,SM,REXPRO,REXPRO ENTERPRISES LTD,        39.15,        40.85,        40.85,        40.60,        40.65,                   122100.00,3000, ,        94.20,        38.00
N,SM,RFBL,RFBL FLEXI PACK LIMITED,        82.10,        82.35,        83.40,        82.05,        82.10,                  9937200.00,120000, ,        86.05,        52.50
N,ST,RICHA,RICHA INFO SYSTEMS LTD,        92.00,        89.50,        90.00,        89.50,        90.00,                  6987000.00,78000, ,        94.00,        50.00
N,ST,RITEZONE,RITE ZONE CHEMCON IND LTD,        20.65,        21.65,        21.65,        21.65,        21.65,                    34640.00,1600, ,        36.55,        13.80
N,SM,RNFI,RNFI SERVICES LIMITED,       250.55,       250.50,       256.95,       250.00,       253.35,                  6691050.00,26400, ,       404.00,       216.00
N,SM,ROCKINGDCE,ROCKINGDEALS CIRCU ECO L,       171.95,       167.00,       196.00,       167.00,       183.25,                  2186862.50,12000, ,       283.85,       123.90
N,ST,ROXHITECH,ROX HI TECH LIMITED,        37.65,        38.85,        39.50,        38.00,        39.30,                   935360.00,24000, ,        55.00,        22.95
N,SM,RULKA,RULKA ELECTRICALS LIMITED,        99.25,        99.95,        99.95,        97.00,        98.00,                    88200.00,900, ,       143.45,        72.95
N,SM,SATECH,S A TECH SOFTWARE INDIA L,        36.85,        38.65,        38.65,        36.85,        36.85,                   648400.00,17000, ,        63.25,        31.80
