DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
02-JUL-2026,FUTSTK,BLUESTARCO,29-SEP-2026,1624.70
02-JUL-2026,FUTSTK,BOSCHLTD,28-JUL-2026,41775.00
02-JUL-2026,FUTSTK,BOSCHLTD,30-JUL-2026,41710.00
02-JUL-2026,FUTSTK,BOSCHLTD,25-AUG-2026,41665.00
02-JUL-2026,FUTSTK,BOSCHLTD,27-AUG-2026,41935.00
02-JUL-2026,FUTSTK,BOSCHLTD,24-SEP-2026,42145.00
02-JUL-2026,FUTSTK,BOSCHLTD,29-SEP-2026,41780.00
02-JUL-2026,FUTSTK,BPCL,28-JUL-2026,312.00
02-JUL-2026,FUTSTK,BPCL,30-JUL-2026,311.95
02-JUL-2026,FUTSTK,BPCL,25-AUG-2026,313.05
02-JUL-2026,FUTSTK,BPCL,27-AUG-2026,313.60
02-JUL-2026,FUTSTK,BPCL,24-SEP-2026,315.15
02-JUL-2026,FUTSTK,BPCL,29-SEP-2026,315.45
02-JUL-2026,FUTSTK,BRITANNIA,28-JUL-2026,5388.00
02-JUL-2026,FUTSTK,BRITANNIA,30-JUL-2026,5399.50
02-JUL-2026,FUTSTK,BRITANNIA,25-AUG-2026,5331.50
02-JUL-2026,FUTSTK,BRITANNIA,27-AUG-2026,5428.00
02-JUL-2026,FUTSTK,BRITANNIA,24-SEP-2026,5455.50
02-JUL-2026,FUTSTK,BRITANNIA,29-SEP-2026,5357.50
02-JUL-2026,FUTSTK,BSE,28-JUL-2026,3832.40
02-JUL-2026,FUTSTK,BSE,25-AUG-2026,3848.00
02-JUL-2026,FUTSTK,BSE,29-SEP-2026,3872.00
02-JUL-2026,FUTSTK,CAMS,28-JUL-2026,799.00
02-JUL-2026,FUTSTK,CAMS,30-JUL-2026,801.90
02-JUL-2026,FUTSTK,CAMS,25-AUG-2026,796.95
02-JUL-2026,FUTSTK,CAMS,27-AUG-2026,806.20
02-JUL-2026,FUTSTK,CAMS,24-SEP-2026,810.25
02-JUL-2026,FUTSTK,CAMS,29-SEP-2026,810.95
02-JUL-2026,FUTSTK,CANBK,28-JUL-2026,127.27
02-JUL-2026,FUTSTK,CANBK,30-JUL-2026,127.23
02-JUL-2026,FUTSTK,CANBK,25-AUG-2026,128.05
02-JUL-2026,FUTSTK,CANBK,27-AUG-2026,127.91
02-JUL-2026,FUTSTK,CANBK,24-SEP-2026,128.55
02-JUL-2026,FUTSTK,CANBK,29-SEP-2026,128.87
02-JUL-2026,FUTSTK,CDSL,28-JUL-2026,1340.10
02-JUL-2026,FUTSTK,CDSL,25-AUG-2026,1342.40
02-JUL-2026,FUTSTK,CDSL,29-SEP-2026,1346.30
02-JUL-2026,FUTSTK,CGPOWER,28-JUL-2026,962.35
02-JUL-2026,FUTSTK,CGPOWER,30-JUL-2026,963.90
02-JUL-2026,FUTSTK,CGPOWER,25-AUG-2026,967.25
02-JUL-2026,FUTSTK,CGPOWER,27-AUG-2026,969.05
02-JUL-2026,FUTSTK,CGPOWER,24-SEP-2026,973.90
02-JUL-2026,FUTSTK,CGPOWER,29-SEP-2026,971.40
02-JUL-2026,FUTSTK,CHOLAFIN,28-JUL-2026,1799.00
02-JUL-2026,FUTSTK,CHOLAFIN,30-JUL-2026,1796.90
02-JUL-2026,FUTSTK,CHOLAFIN,25-AUG-2026,1809.10
02-JUL-2026,FUTSTK,CHOLAFIN,27-AUG-2026,1806.50
02-JUL-2026,FUTSTK,CHOLAFIN,24-SEP-2026,1815.50
02-JUL-2026,FUTSTK,CHOLAFIN,29-SEP-2026,1817.20
02-JUL-2026,FUTSTK,CIPLA,28-JUL-2026,1461.70
02-JUL-2026,FUTSTK,CIPLA,30-JUL-2026,1462.80
02-JUL-2026,FUTSTK,CIPLA,25-AUG-2026,1470.60
02-JUL-2026,FUTSTK,CIPLA,27-AUG-2026,1470.60
02-JUL-2026,FUTSTK,CIPLA,24-SEP-2026,1478.00
02-JUL-2026,FUTSTK,CIPLA,29-SEP-2026,1480.40
02-JUL-2026,FUTSTK,COALINDIA,28-JUL-2026,440.15
02-JUL-2026,FUTSTK,COALINDIA,30-JUL-2026,441.00
02-JUL-2026,FUTSTK,COALINDIA,25-AUG-2026,437.75
02-JUL-2026,FUTSTK,COALINDIA,27-AUG-2026,443.35
02-JUL-2026,FUTSTK,COALINDIA,24-SEP-2026,445.55
02-JUL-2026,FUTSTK,COALINDIA,29-SEP-2026,438.85
02-JUL-2026,FUTSTK,COCHINSHIP,28-JUL-2026,1506.50
02-JUL-2026,FUTSTK,COCHINSHIP,30-JUL-2026,1526.40
02-JUL-2026,FUTSTK,COCHINSHIP,25-AUG-2026,1494.60
02-JUL-2026,FUTSTK,COCHINSHIP,27-AUG-2026,1534.60
02-JUL-2026,FUTSTK,COCHINSHIP,24-SEP-2026,1542.30
02-JUL-2026,FUTSTK,COCHINSHIP,29-SEP-2026,1494.00
02-JUL-2026,FUTSTK,COFORGE,28-JUL-2026,1444.60
02-JUL-2026,FUTSTK,COFORGE,30-JUL-2026,1448.70
02-JUL-2026,FUTSTK,COFORGE,25-AUG-2026,1433.80
02-JUL-2026,FUTSTK,COFORGE,27-AUG-2026,1456.40
02-JUL-2026,FUTSTK,COFORGE,24-SEP-2026,1463.70
02-JUL-2026,FUTSTK,COFORGE,29-SEP-2026,1425.00
02-JUL-2026,FUTSTK,COLPAL,28-JUL-2026,2072.50
02-JUL-2026,FUTSTK,COLPAL,30-JUL-2026,2071.20
02-JUL-2026,FUTSTK,COLPAL,25-AUG-2026,2076.20
02-JUL-2026,FUTSTK,COLPAL,27-AUG-2026,2082.20
02-JUL-2026,FUTSTK,COLPAL,24-SEP-2026,2092.70
02-JUL-2026,FUTSTK,COLPAL,29-SEP-2026,2085.80
02-JUL-2026,FUTSTK,CONCOR,28-JUL-2026,480.20
02-JUL-2026,FUTSTK,CONCOR,30-JUL-2026,479.70
02-JUL-2026,FUTSTK,CONCOR,25-AUG-2026,482.05
02-JUL-2026,FUTSTK,CONCOR,27-AUG-2026,482.25
02-JUL-2026,FUTSTK,CONCOR,24-SEP-2026,484.70
02-JUL-2026,FUTSTK,CONCOR,29-SEP-2026,485.10
02-JUL-2026,FUTSTK,CROMPTON,28-JUL-2026,272.75
02-JUL-2026,FUTSTK,CROMPTON,30-JUL-2026,275.45
02-JUL-2026,FUTSTK,CROMPTON,25-AUG-2026,274.00
02-JUL-2026,FUTSTK,CROMPTON,27-AUG-2026,276.95
