Trade Date,ISIN,Last Trade Price (in Rs.),Last Trade Value (Rs. in lacs),Total Trade Value (Rs. in lacs),Last Trade Yield (YTM) (Annualized) (%),Weighted Average Price  (Rs.),Weighted Average Yield (YTM) (%)
02-Jul-2026,INE05F407DN7 ,99.5904,0.01,3.65,10.7500,99.5937,10.7427
02-Jul-2026,INE101Q07BQ5 ,99.3256,1.00,18.80,10.2500,99.0682,10.4796
02-Jul-2026,INE115A07QO2 ,100.4045,2500.00,2500.00,7.2500,100.4045,7.2500
02-Jul-2026,INE0M2307388 ,101.5510,40.00,280.00,9.0500,101.6029,9.0375
02-Jul-2026,INE831R07474 ,100.3392,5000.00,5000.00,7.0500,100.3392,7.0500
02-Jul-2026,INE583D07588 ,100.5539,0.01,7.75,10.2500,100.5496,10.2539
02-Jul-2026,INE261F08EU4 ,100.7069,2500.00,48350.00,7.1700,100.6874,7.1780
02-Jul-2026,INE342T07635 ,100.3175,0.50,86.10,10.5000,99.7391,11.0487
02-Jul-2026,INE884Q07822 ,99.7056,2.00,1000.00,12.7000,99.7144,12.6918
02-Jul-2026,INE0A3007073 ,98.9927,0.20,411.00,11.8000,98.9920,11.8000
02-Jul-2026,INE734I07107 ,99.6651,0.10,695.50,12.0000,99.8513,11.8907
02-Jul-2026,INE0BUS07CM6 ,98.8574,2.50,64.00,11.2000,98.8565,11.1998
02-Jul-2026,INE342T07619 ,100.6249,3.00,45.00,9.5000,100.4241,9.8278
02-Jul-2026,INE261F08EQ2 ,99.1799,10000.00,50000.00,7.1800,99.1799,7.1800
02-Jul-2026,INE093JA7U99 ,244.0730,5.00,44.00,7.5000,243.7463,7.5000
02-Jul-2026,INE093JA7U24 ,244.5200,8.00,8.00,7.5000,244.5200,7.5000
02-Jul-2026,INE093JA7W71 ,243.2460,2.00,96.00,7.5000,242.6340,7.5000
02-Jul-2026,INE093JA76A0 ,241.3480,5.00,101.00,7.5000,240.8158,7.5000
02-Jul-2026,INE939X07259 ,100.2546,0.10,53.90,11.0000,99.9457,11.2203
02-Jul-2026,INE140R08080 ,100.8601,1.00,1.00,7.2500,100.8601,7.2500
02-Jul-2026,INE501X07729 ,100.2888,1.00,95.00,10.2500,100.0262,10.5065
02-Jul-2026,INE556F08KM1 ,100.4866,7500.00,85000.00,7.1800,100.4888,7.1926
02-Jul-2026,INE109C07121 ,101.3141,0.10,12.20,10.7500,100.8956,11.0955
02-Jul-2026,INE0D4Z07011 ,100.0137,0.10,8.20,11.0000,99.8397,11.2829
02-Jul-2026,INE07HK07866 ,100.2928,2.00,34.00,10.7500,100.1907,10.8447
02-Jul-2026,INE06WU07072 ,100.0157,0.55,36.76,11.0000,99.7851,11.2006
02-Jul-2026,INE403Q07HB4 ,96.2432,300.00,379.54,11.3000,96.3792,11.2388
02-Jul-2026,INE556F08KK5 ,100.4628,10500.00,10500.00,7.1800,100.4628,7.1800
02-Jul-2026,INE423A07484 ,100.0506,0.02,12.62,8.5000,100.1151,8.4595
02-Jul-2026,INE180C07288 ,99.9232,0.01,15.42,9.0000,99.9232,9.0000
02-Jul-2026,INE03K307157 ,99.4642,0.90,1161.70,11.7500,99.9340,11.3624
02-Jul-2026,INE07HK07825 ,100.3701,2.00,42.00,10.7500,100.4224,10.6905
02-Jul-2026,INE718F07049 ,99.8035,0.50,538.60,11.5500,99.9807,11.4585
02-Jul-2026,INE342T07601 ,100.4935,0.20,66.20,11.0000,100.3731,11.0693
02-Jul-2026,INE389Z07070 ,99.9996,5.00,13.00,10.2000,99.8296,10.3538
02-Jul-2026,INE532F07JM6 ,97.7628,0.50,18.89,10.1000,98.0226,10.1238
02-Jul-2026,INE296Q07159 ,99.2335,0.20,3.30,11.4000,98.8682,11.7424
02-Jul-2026,INE583D07612 ,100.2209,0.20,70.20,10.0000,100.1747,10.0406
02-Jul-2026,INE836B07915 ,99.3020,1.00,52.80,11.0000,99.2409,11.0455
02-Jul-2026,INE101Q07BY9 ,98.5475,0.40,33.50,10.7000,97.9365,11.0343
02-Jul-2026,IN0020010081 ,100.7726,0.01,1.05,6.0000,100.7725,5.9983
02-Jul-2026,INE296A07TX5 ,101.9224,1.00,1.00,7.5000,101.9224,7.5000
02-Jul-2026,INE0MYJ07161 ,99.5619,2.00,123.00,11.1000,99.4562,11.2862
02-Jul-2026,INE01HV07528 ,101.0827,0.10,56.70,8.0000,101.0062,8.1795
02-Jul-2026,INE918K07JJ3 ,147.5110,10.00,100.00,9.0000,147.5110,9.0000
02-Jul-2026,INE093JA7V49 ,218.8870,58.00,58.00,7.5000,218.8870,7.5000
02-Jul-2026,INE093JB7SX6 ,105.1000,8.00,22.00,8.0000,105.1000,8.0000
02-Jul-2026,INE093JA7CV5 ,267.3140,43.00,43.00,7.5000,267.3140,7.5000
02-Jul-2026,INE093JA70G0 ,240.5900,1.00,11.00,7.5000,240.5900,7.5000
02-Jul-2026,INE093JA72S1 ,202.9600,18.00,18.00,7.5000,202.9600,7.5000
02-Jul-2026,INE093J074I9 ,304.0880,20.00,20.00,7.5000,304.0880,7.5000
02-Jul-2026,INE093JA7T68 ,220.3740,81.00,162.00,7.5000,220.1734,7.5000
02-Jul-2026,INE093JA71F0 ,242.0340,13.00,13.00,7.5000,242.0340,7.5000
02-Jul-2026,INE148I07UE9 ,101.1003,0.10,203.08,8.8500,101.1984,9.0942
02-Jul-2026,INE093JA72G6 ,216.4680,80.00,160.00,7.5000,216.4680,7.5000
02-Jul-2026,INE093JA7R94 ,245.4150,80.00,160.00,7.5000,245.1025,7.5000
02-Jul-2026,INE093JA72D3 ,242.3600,13.00,13.00,7.5000,242.3600,7.5000
02-Jul-2026,INE093J078M2 ,294.6360,20.00,20.00,7.5000,294.6360,7.5000
02-Jul-2026,INE093JA70I6 ,240.0860,46.00,46.00,7.5000,240.0860,7.5000
02-Jul-2026,INE093JA74R9 ,159.4900,80.00,80.00,7.5000,159.4900,7.5000
02-Jul-2026,INE093JA78I9 ,239.7090,14.00,97.00,7.5000,239.7992,7.5000
02-Jul-2026,INE093JA78R0 ,170.9860,25.00,25.00,7.5000,170.9860,7.5000
02-Jul-2026,INE093JA75F1 ,216.8090,39.00,39.00,7.5000,216.8090,7.5000
02-Jul-2026,INE093JB7JC9 ,182.2510,80.00,80.00,7.5000,182.2510,7.5000
02-Jul-2026,INE093J072P8 ,299.3790,24.00,24.00,7.5000,299.3790,7.5000
02-Jul-2026,INE093JA70C9 ,243.1860,15.00,40.00,7.5000,243.1860,7.5000
02-Jul-2026,INE093JA70D7 ,218.2900,32.00,32.00,7.5000,218.2900,7.5000
02-Jul-2026,INE093J070M9 ,237.1960,12.00,25.00,7.5000,237.1960,7.5000
02-Jul-2026,INE093JA70F2 ,242.0350,88.00,128.00,7.5000,241.8397,7.5000
02-Jul-2026,INE918K07KR4 ,147.2317,30.00,250.00,9.0000,147.2317,9.0000
02-Jul-2026,INE093J075H8 ,287.3960,14.00,14.00,7.5000,287.3960,7.5000
02-Jul-2026,INE093JA75L9 ,239.2070,112.00,112.00,7.5000,239.2070,7.5000
02-Jul-2026,INE093JA7S69 ,220.8920,52.00,57.00,7.5000,220.8372,7.5000
02-Jul-2026,INE093JA7S51 ,245.1590,40.00,40.00,7.5000,245.1590,7.5000
02-Jul-2026,INE093JA7S77 ,221.5120,22.00,22.00,7.5000,221.5120,7.5000
02-Jul-2026,INE093JB7G79 ,131.1980,80.00,80.00,8.0000,131.1980,8.0000
02-Jul-2026,INE093JA77J9 ,215.8500,40.00,80.00,7.5000,215.8500,7.5000
02-Jul-2026,INE093JA72L6 ,215.3990,15.00,64.00,7.5000,215.2037,7.5000
02-Jul-2026,INE093JA74G2 ,234.4980,13.00,13.00,7.5000,234.4980,7.5000
02-Jul-2026,INE093JA7W63 ,218.5440,80.00,85.00,7.5000,218.5440,7.5000
02-Jul-2026,INE093J071J3 ,303.6120,20.00,20.00,7.5000,303.6120,7.5000
02-Jul-2026,INE093JA71J2 ,182.4370,40.00,40.00,7.5000,182.4370,7.5000
02-Jul-2026,INE093JA70L0 ,178.4980,40.00,40.00,7.5000,178.4980,7.5000
02-Jul-2026,INE681R08141 ,99.5058,2.00,42.00,11.2500,99.6047,11.1276
02-Jul-2026,INE093JA7V07 ,219.2890,28.00,28.00,7.5000,219.2890,7.5000
02-Jul-2026,INE093JA72H4 ,241.0890,46.00,46.00,7.5000,241.0890,7.5000
02-Jul-2026,INE093JA72I2 ,240.0230,20.00,40.00,7.5000,240.0230,7.5000
02-Jul-2026,INE020B08EB3 ,100.1500,200.00,200.00,7.6350,100.1500,7.6350
02-Jul-2026,INE04Q907199 ,99.7762,1.00,75.20,13.6500,96.6537,15.7112
02-Jul-2026,INE101Q07BW3 ,99.8300,0.90,0.90,10.1700,99.8300,10.1700
02-Jul-2026,INE1QWF07063 ,100.4225,2.00,65.00,10.7500,100.0695,10.9755
02-Jul-2026,INE020B08EH0 ,101.0427,2500.00,15000.00,7.0700,101.0427,7.0700
02-Jul-2026,INE296A07SV1 ,100.1247,10000.00,12500.00,7.7800,100.1246,7.7800
02-Jul-2026,INE296A07TK2 ,99.9323,5000.00,5000.00,7.3000,99.9323,7.3000
02-Jul-2026,INE918K07JL9 ,146.8933,50.00,50.00,9.0000,146.8933,9.0000
02-Jul-2026,INE918K07JU0 ,149.8832,30.00,90.00,9.0000,149.8832,9.0000
02-Jul-2026,INE918K07JW6 ,149.0472,30.00,60.00,9.0000,149.0472,9.0000
02-Jul-2026,INE918K07JO3 ,145.8896,30.00,30.00,9.0000,145.8896,9.0000
02-Jul-2026,INE918K07KA0 ,148.7415,30.00,30.00,9.0000,148.7415,9.0000
02-Jul-2026,INE020B08FA2 ,100.4462,6500.00,26500.00,7.0200,100.4462,7.0200
02-Jul-2026,INE261F08DX0 ,100.0707,17500.00,116000.00,6.2500,100.0685,6.2743
02-Jul-2026,INE261F08DV4 ,100.6336,10000.00,23000.00,7.1300,100.6336,7.1300
02-Jul-2026,INE507T07112 ,100.4131,2500.00,12500.00,7.1000,100.4237,7.0840
02-Jul-2026,INE101Q07BX1 ,97.5118,1.00,236.40,11.2500,97.3886,11.3342
02-Jul-2026,INE741K07579 ,102.5361,0.02,6.78,8.7500,102.2634,8.8972
02-Jul-2026,INE0NES07170 ,42.7843,1.00,1.00,12.8000,42.7843,12.8000
02-Jul-2026,INE020B08GF9 ,100.0000,2500.00,150000.00,7.1650,100.0758,7.1465
02-Jul-2026,INE08XP07480 ,99.8924,1.30,1.30,13.7000,99.8924,13.7000
02-Jul-2026,INE403D08231 ,100.9718,2500.00,2500.00,7.8000,100.9718,7.8000
02-Jul-2026,INE101Q07BZ6 ,99.4000,0.80,1.30,10.4211,98.9796,10.6630
02-Jul-2026,INE511C07AA1 ,100.2732,1500.00,1500.00,8.0500,100.2732,8.0500
02-Jul-2026,INE0NES07303 ,98.1376,4.10,391.40,14.2500,98.3351,14.0871
02-Jul-2026,INE0BUS07CL8 ,98.3061,1.10,1.60,11.7940,98.3355,11.7803
02-Jul-2026,INE033L07IO1 ,99.6886,2500.00,5000.00,7.4300,99.6886,7.4300
02-Jul-2026,INE734I07115 ,99.9736,0.90,2.10,11.8262,99.9083,11.8660
02-Jul-2026,INE476A08217 ,100.4335,100.00,200.00,8.1500,100.5956,8.0750
02-Jul-2026,IN002026Z102 ,95.0085,1.05,4.81,5.6000,94.9488,5.6663
02-Jul-2026,INE414G07JS2 ,99.0697,2500.00,9500.00,8.2800,99.0697,8.2800
02-Jul-2026,INE00DJ07052 ,101.1382,1.00,5.00,12.7970,101.1382,12.7970
02-Jul-2026,INE514E08GG3 ,100.9851,2500.00,12500.00,6.9600,100.9851,6.9600
02-Jul-2026,INE818W08164 ,102.5321,7.00,9.00,11.5000,102.5321,11.5000
02-Jul-2026,INE0LN107030 ,100.5379,0.10,3.20,11.0000,100.3834,11.2422
02-Jul-2026,INE261F08EK5 ,100.4078,10000.00,75000.00,7.1300,100.4078,7.1300
02-Jul-2026,INE01YL07417 ,100.0285,1.00,70.00,11.2000,99.8042,11.1814
02-Jul-2026,INE146O08399 ,99.7528,2.00,63.00,9.3000,99.5810,9.3444
02-Jul-2026,INE443L07174 ,100.6846,1.00,3.00,9.1000,100.6846,9.1000
02-Jul-2026,INE0MYJ07187 ,98.9764,1.00,28.00,12.0000,98.9764,12.0000
02-Jul-2026,INE950O07578 ,100.9278,20.00,1040.00,7.8100,100.3295,7.9596
02-Jul-2026,INE0M2307412 ,102.7461,4.00,20.00,8.9500,102.5740,8.9815
02-Jul-2026,INE07HK07858 ,101.5380,2.00,32.00,9.7500,101.5380,9.7500
02-Jul-2026,INE229U07178 ,100.3097,9.00,130.00,11.5200,100.3763,11.4791
02-Jul-2026,INE403Q07GX0 ,99.9261,1.00,15.00,10.5000,99.9261,10.5000
02-Jul-2026,INE998Y07212 ,100.4358,1.00,7.00,11.2500,100.4358,11.2500
02-Jul-2026,INE516Q07481 ,99.5579,1.00,45.00,9.7500,99.5579,9.7500
02-Jul-2026,INE859C07253 ,99.5719,19.50,19.60,9.1000,99.5732,9.0990
02-Jul-2026,INE515Q07640 ,100.2492,9.75,9.75,11.0000,100.2492,11.0000
02-Jul-2026,INE911L07154 ,99.8069,0.90,0.90,11.8085,99.8069,11.8085
02-Jul-2026,INE501X07646 ,100.0411,3.00,97.33,10.5000,100.0344,10.5134
02-Jul-2026,INE413U07400 ,92.0698,3.25,5.42,10.5000,92.0698,10.5000
02-Jul-2026,INE06WU07064 ,33.5663,3.00,12.00,10.8000,33.5395,10.9500
02-Jul-2026,INE413U07434 ,98.8411,5.00,5.00,10.6428,98.8411,10.6428
02-Jul-2026,INE342T07718 ,99.7041,3.00,556.70,11.0000,99.5368,11.1163
02-Jul-2026,INE814O07618 ,99.5905,2.00,2.00,13.2500,99.5905,13.2500
02-Jul-2026,INE572J07786 ,98.9593,0.89,47.11,13.2500,98.9713,13.2370
02-Jul-2026,INE884Q07772 ,100.3396,0.10,2.20,10.6300,100.3356,10.6527
02-Jul-2026,INE104W07229 ,99.2275,1.00,2.00,12.8500,99.2275,12.8500
02-Jul-2026,INE101Q07BL6 ,98.2739,0.01,1.71,11.4000,98.4497,11.2206
02-Jul-2026,INE296Q07142 ,98.4821,0.10,4.40,12.3000,99.2224,11.5364
02-Jul-2026,INE087P07485 ,100.1050,1.00,1.00,8.7500,100.1050,8.7500
02-Jul-2026,INE105N07738 ,100.7922,1.00,1.00,8.0000,100.7922,8.0000
02-Jul-2026,INE01HV07635 ,99.1715,0.10,0.10,10.1000,99.1715,10.1000
02-Jul-2026,INE583D07638 ,99.7697,0.10,103.10,10.5500,98.7736,10.9821
02-Jul-2026,INE296Q07167 ,97.8128,0.10,0.10,12.3000,97.8128,12.3000
02-Jul-2026,INE0BUS07CK0 ,98.5521,0.10,8.60,11.4500,98.7934,11.2821
02-Jul-2026,INE01HV07536 ,100.0898,7.00,8.10,10.1000,99.9693,10.2741
02-Jul-2026,INE115A07RI2 ,100.7340,5000.00,10000.00,7.4000,100.7340,7.4000
02-Jul-2026,INE0RU307197 ,99.6249,0.30,1.90,14.9900,99.6489,14.7763
02-Jul-2026,INE08E807126 ,100.4207,2.00,2.00,10.2900,100.4207,10.2900
02-Jul-2026,INE734I07073 ,99.6752,0.10,22.20,12.0400,100.1867,11.5876
02-Jul-2026,INE583D07604 ,98.9314,0.01,2.87,12.1700,99.9295,10.7391
02-Jul-2026,INE296G07218 ,98.8140,0.10,5.00,13.9900,98.9911,13.4586
02-Jul-2026,INE342T07643 ,99.7484,0.40,6.10,11.3300,99.1140,13.5403
02-Jul-2026,INE046W07339 ,98.9713,0.10,64.30,11.0000,99.4256,10.6194
02-Jul-2026,INE01XO07041 ,101.6380,0.50,2.70,11.2500,101.0004,11.7170
02-Jul-2026,INE104W07211 ,100.4685,0.10,1.40,10.9400,100.5536,10.7179
02-Jul-2026,INE734I07065 ,99.7827,0.10,0.10,12.0000,99.7827,12.0000
02-Jul-2026,INE296Q07134 ,100.1546,0.65,5.20,12.0300,100.6094,11.3188
02-Jul-2026,INE423A07328 ,99.5416,0.10,9.23,10.0100,101.3966,8.3263
02-Jul-2026,INE296G07309 ,99.0785,1.00,1.00,11.4800,99.0785,11.4800
02-Jul-2026,INE734I07099 ,99.7551,1.20,3.00,11.9500,100.0862,11.6800
02-Jul-2026,INE046W07289 ,99.8379,0.10,35.80,10.4200,99.9375,10.2622
02-Jul-2026,INE0MYJ07138 ,99.9154,0.10,4.00,11.7700,99.5661,12.5923
02-Jul-2026,INE0MYJ07112 ,100.1621,0.10,1.80,10.8500,100.0345,11.4033
02-Jul-2026,INE0RU307205 ,99.3097,0.20,1.90,13.5400,99.4491,13.1763
02-Jul-2026,INE0TLC07093 ,99.9845,1.00,1.00,9.6300,99.9845,9.6300
02-Jul-2026,INE101Q07BK8 ,98.7478,0.49,2.82,11.5400,98.6092,11.7872
02-Jul-2026,INE342T07569 ,98.9317,0.10,28.80,12.5400,100.0345,11.0849
02-Jul-2026,INE884Q07780 ,99.5266,0.10,0.70,13.9200,99.7809,13.1671
02-Jul-2026,INE103C07181 ,99.5626,0.01,6.52,10.0300,99.9759,9.6886
02-Jul-2026,INE0O7U07020 ,99.5122,0.50,10.90,12.1000,99.8150,11.7725
02-Jul-2026,INE229U07145 ,99.5009,0.10,10.80,12.2800,100.8406,11.1006
02-Jul-2026,INE389Z07088 ,99.3354,0.20,20.60,10.6400,99.3776,10.6081
02-Jul-2026,INE884Q07830 ,99.7131,0.50,3.00,12.0400,99.6028,12.1853
02-Jul-2026,INE423A07450 ,99.1055,0.01,0.60,9.9100,100.5931,8.3452
