EURINR26703108.75CE           ,OPTCUR,EURINR    ,03072026,00108.7500,CE,00,N,P,000000001.9600000,000000000.0000000,000000000.0000000,000000000.0000000,000000001.9600000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703108.75PE           ,OPTCUR,EURINR    ,03072026,00108.7500,PE,00,N,P,000000001.6900000,000000000.0000000,000000000.0000000,000000000.0000000,000000001.6900000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703108CE              ,OPTCUR,EURINR    ,03072026,00108.0000,CE,00,N,P,000000002.3650000,000000000.0000000,000000000.0000000,000000000.0000000,000000002.3650000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703108PE              ,OPTCUR,EURINR    ,03072026,00108.0000,PE,00,N,P,000000001.3550000,000000000.0000000,000000000.0000000,000000000.0000000,000000001.3550000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703109.25CE           ,OPTCUR,EURINR    ,03072026,00109.2500,CE,00,N,P,000000001.7150000,000000000.0000000,000000000.0000000,000000000.0000000,000000001.7150000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703109.25PE           ,OPTCUR,EURINR    ,03072026,00109.2500,PE,00,N,P,000000001.9400000,000000000.0000000,000000000.0000000,000000000.0000000,000000001.9400000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703109.5CE            ,OPTCUR,EURINR    ,03072026,00109.5000,CE,00,N,P,000000001.6000000,000000000.0000000,000000000.0000000,000000000.0000000,000000001.6000000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703109.5PE            ,OPTCUR,EURINR    ,03072026,00109.5000,PE,00,N,P,000000002.0725000,000000000.0000000,000000000.0000000,000000000.0000000,000000002.0725000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703109.75CE           ,OPTCUR,EURINR    ,03072026,00109.7500,CE,00,N,P,000000001.4925000,000000000.0000000,000000000.0000000,000000000.0000000,000000001.4925000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703109.75PE           ,OPTCUR,EURINR    ,03072026,00109.7500,PE,00,N,P,000000002.2125000,000000000.0000000,000000000.0000000,000000000.0000000,000000002.2125000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703109CE              ,OPTCUR,EURINR    ,03072026,00109.0000,CE,00,N,P,000000001.8350000,000000000.0000000,000000000.0000000,000000000.0000000,000000001.8350000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703109PE              ,OPTCUR,EURINR    ,03072026,00109.0000,PE,00,N,P,000000001.8125000,000000000.0000000,000000000.0000000,000000000.0000000,000000001.8125000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703110.25CE           ,OPTCUR,EURINR    ,03072026,00110.2500,CE,00,N,P,000000001.2900000,000000000.0000000,000000000.0000000,000000000.0000000,000000001.2900000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703110.25PE           ,OPTCUR,EURINR    ,03072026,00110.2500,PE,00,N,P,000000002.5050000,000000000.0000000,000000000.0000000,000000000.0000000,000000002.5050000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703110.5CE            ,OPTCUR,EURINR    ,03072026,00110.5000,CE,00,N,P,000000001.1975000,000000000.0000000,000000000.0000000,000000000.0000000,000000001.1975000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703110.5PE            ,OPTCUR,EURINR    ,03072026,00110.5000,PE,00,N,P,000000002.6575000,000000000.0000000,000000000.0000000,000000000.0000000,000000002.6575000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703110.75CE           ,OPTCUR,EURINR    ,03072026,00110.7500,CE,00,N,P,000000001.1100000,000000000.0000000,000000000.0000000,000000000.0000000,000000001.1100000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703110.75PE           ,OPTCUR,EURINR    ,03072026,00110.7500,PE,00,N,P,000000002.8175000,000000000.0000000,000000000.0000000,000000000.0000000,000000002.8175000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703110CE              ,OPTCUR,EURINR    ,03072026,00110.0000,CE,00,N,P,000000001.3900000,000000000.0000000,000000000.0000000,000000000.0000000,000000001.3900000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703110PE              ,OPTCUR,EURINR    ,03072026,00110.0000,PE,00,N,P,000000002.3550000,000000000.0000000,000000000.0000000,000000000.0000000,000000002.3550000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703111.25CE           ,OPTCUR,EURINR    ,03072026,00111.2500,CE,00,N,P,000000000.9475000,000000000.0000000,000000000.0000000,000000000.0000000,000000000.9475000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703111.25PE           ,OPTCUR,EURINR    ,03072026,00111.2500,PE,00,N,P,000000003.1475000,000000000.0000000,000000000.0000000,000000000.0000000,000000003.1475000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703111.5CE            ,OPTCUR,EURINR    ,03072026,00111.5000,CE,00,N,P,000000000.8725000,000000000.0000000,000000000.0000000,000000000.0000000,000000000.8725000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703111.5PE            ,OPTCUR,EURINR    ,03072026,00111.5000,PE,00,N,P,000000003.3200000,000000000.0000000,000000000.0000000,000000000.0000000,000000003.3200000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703111.75CE           ,OPTCUR,EURINR    ,03072026,00111.7500,CE,00,N,P,000000000.8025000,000000000.0000000,000000000.0000000,000000000.0000000,000000000.8025000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703111.75PE           ,OPTCUR,EURINR    ,03072026,00111.7500,PE,00,N,P,000000003.4975000,000000000.0000000,000000000.0000000,000000000.0000000,000000003.4975000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703111CE              ,OPTCUR,EURINR    ,03072026,00111.0000,CE,00,N,P,000000001.0250000,000000000.0000000,000000000.0000000,000000000.0000000,000000001.0250000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703111PE              ,OPTCUR,EURINR    ,03072026,00111.0000,PE,00,N,P,000000002.9800000,000000000.0000000,000000000.0000000,000000000.0000000,000000002.9800000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703112.25CE           ,OPTCUR,EURINR    ,03072026,00112.2500,CE,00,N,P,000000000.6775000,000000000.0000000,000000000.0000000,000000000.0000000,000000000.6775000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703112.25PE           ,OPTCUR,EURINR    ,03072026,00112.2500,PE,00,N,P,000000003.8675000,000000000.0000000,000000000.0000000,000000000.0000000,000000003.8675000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703112.5CE            ,OPTCUR,EURINR    ,03072026,00112.5000,CE,00,N,P,000000000.6200000,000000000.0000000,000000000.0000000,000000000.0000000,000000000.6200000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703112.5PE            ,OPTCUR,EURINR    ,03072026,00112.5000,PE,00,N,P,000000004.0575000,000000000.0000000,000000000.0000000,000000000.0000000,000000004.0575000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703112.75CE           ,OPTCUR,EURINR    ,03072026,00112.7500,CE,00,N,P,000000000.5675000,000000000.0000000,000000000.0000000,000000000.0000000,000000000.5675000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703112.75PE           ,OPTCUR,EURINR    ,03072026,00112.7500,PE,00,N,P,000000004.2500000,000000000.0000000,000000000.0000000,000000000.0000000,000000004.2500000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703112CE              ,OPTCUR,EURINR    ,03072026,00112.0000,CE,00,N,P,000000000.7375000,000000000.0000000,000000000.0000000,000000000.0000000,000000000.7375000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
