SYMBOL,TM Limit Proprietary,LMT Overall Limit
MOTILALOFS,5772200,8658300
MPHASIS,3485075,5227475
MUTHOOTFIN,3210075,4814975
NAM-INDIA,5372500,8058750
NATIONALUM,26844375,40267500
NAUKRI,12137950,18207200
NBCC,30972500,46462000
NESTLEIND,16914000,25371500
NHPC,98245200,147367800
NMDC,103403250,155108250
NTPC,124563000,186846000
NUVAMA,2505000,3757500
NYKAA,38400000,57600000
OBEROIRLTY,3522750,5283950
OFSS,719500,1079200
OIL,21151200,31726800
ONGC,155142000,232713000
PAGEIND,168080,252120
PATANJALI,10365150,15547725
PAYTM,13848225,20772700
PERSISTENT,3253125,4879750
PETRONET,22499800,33749700
PFC,43566900,65349700
PGEL,4843100,7264650
PHOENIXLTD,3855950,5784100
PIDILITIND,7429000,11144000
PIIND,2453325,3680075
PNB,103160000,154744000
PNBHOUSING,5624450,8437000
POLICYBZR,13861050,20791750
POLYCAB,1739000,2608500
POWERGRID,123547500,185322200
POWERINDIA,383575,575350
PREMIERENE,4849650,7274800
PRESTIGE,5046750,7570350
RADICO,2401950,3603000
RBLBANK,18542000,27813000
RECLTD,37415700,56125125
RELIANCE,148615500,222923000
RVNL,16988125,25481225
SAIL,43371600,65057400
SBICARD,8871200,13306400
SBILIFE,13111125,19666875
SBIN,122079000,183118500
SHREECEM,270225,405325
SHRIRAMFIN,42117900,63176850
SIEMENS,2619575,3929450
SOLARINDS,728950,1093400
SONACOMS,13424775,20137775
SRF,4422600,6634000
SUNPHARMA,32766300,49149450
SUPREMEIND,1784300,2676450
SUZLON,363169200,544766500
SWIGGY,77184725,115776175
TATACONSUM,17872250,26808650
TATAELXSI,1048375,1572625
TATAPOWER,50941400,76413550
TATASTEEL,213939000,320908500
TCS,30645675,45968625
TECHM,17613600,26420400
TIINDIA,2525600,3788400
TITAN,8893850,13340775
TMPV,62787200,94182400
TORNTPHARM,3076875,4615375
TRENT,7913025,11869425
TVSMOTOR,7084350,10626525
ULTRACEMCO,3154600,4731950
UNIONBANK,57808200,86712300
UNITDSPR,9453600,14180800
UNOMINDA,5479650,8219200
UPL,16837230,25255845
VBL,41155725,61734225
VEDL,50997900,76496850
VMM,83943800,125915700
VOLTAS,6918750,10378125
WAAREEENER,3090150,4635400
WIPRO,85788000,128682000
YESBANK,599079300,898634500
ZYDUSLIFE,7229700,10845000
